"","pcMean","pcSD","pcMax","pcMin"
"Baltic rush",0.785714285714286,2.22498302253061,8,0
"bare ground",9.85714285714286,14.0266622097794,50,0
"Bare ground",4.28571428571429,11.5786844704368,40,0
"birds-foot trefoil",0.357142857142857,1.33630620956212,5,0
"broad-leaved arrowhead",0.0357142857142857,0.133630620956212,0.5,0
"colonial bentgrass",0.464285714285714,0.929521914217728,3,0
"common beggarticks",0.0357142857142857,0.133630620956212,0.5,0
"common cattail",5.92857142857143,11.565627361442,35,0
"common rush",0.928571428571429,2.4326081512612,8,0
"common silverweed",1.5,2.53437900146701,7,0
"common spike-rush",1.03571428571429,1.98517859799416,6,0
"creeping loosestrife",0.214285714285714,0.578934223521839,2,0
"European forget-me-not",8.92857142857143,10.6226484146214,40,0
"field mint",0.285714285714286,1.0690449676497,4,0
"ground",0.214285714285714,0.801783725737273,3,0
"horehound",3.28571428571429,6.68440862614777,25,0
"hornwort",0.392857142857143,0.923591889322323,3,0
"jointed rush",1.78571428571429,4.20948693070548,15,0
"lesser spearwort",0.142857142857143,0.534522483824849,2,0
"Lyngbye’s sedge",25.3571428571429,31.3310049014051,100,0
"nodding beggarticks",0.678571428571429,1.3098317986136,5,0
"pigmyweed",0.214285714285714,0.377964473009227,1,0
"pointed rush",2.57142857142857,2.97978537467397,7,0
"pond water-starwort",0.0714285714285714,0.267261241912424,1,0
"purple-leaved willowherb",1.14285714285714,1.61040572322834,5,0
"purple loosestrife",4.42857142857143,4.55250202913461,13,0
"reed canarygrass ",2.92857142857143,5.62226734599931,20,0
"rice cutgrass",0.0714285714285714,0.267261241912424,1,0
"shining willow",0.5,1.87082869338697,7,0
"Sitka willow",2,7.48331477354788,28,0
"slough sedge",17.4285714285714,24.2351121173528,80,0
"small-flowered bulrush",0.714285714285714,2.67261241912424,10,0
"small bedstraw",5.89285714285714,7.93283965897112,25,0
"soft-stemmed bulrush",0.928571428571429,1.94003511920178,6,0
"springbank clover",0.0357142857142857,0.133630620956212,0.5,0
"swamp horsetail",0.0714285714285714,0.267261241912424,1,0
"water-parsnip",0.214285714285714,0.801783725737273,3,0
"water-pepper",3.21428571428571,12.0267558860591,45,0
"water-plantain",3.32142857142857,6.06251770134495,17,0
"water-purslane",0.214285714285714,0.578934223521839,2,0
"water mudwort",0.0714285714285714,0.181568259800641,0.5,0
"western lilaeopsis",0.107142857142857,0.28946711176092,1,0
"western St. John's-wort",0.0357142857142857,0.133630620956212,0.5,0
"wool-grass",0.142857142857143,0.534522483824849,2,0
"yellow iris",4.85714285714286,10.0142755247554,30,0
