"","pcMean","pcSD","pcMax","pcMin"
"Alaska violet",0.1,0.261574181890298,1,0
"American speedwell",0.05,0.153896752812773,0.5,0
"annual hawksbeard",0.05,0.223606797749979,1,0
"Asian knotweed ",0.025,0.111803398874989,0.5,0
"birds-foot trefoil",0.05,0.223606797749979,1,0
"birds-foot trefoil ",3.55,9.57779779105384,40,0
"black cottonwood",0.15,0.461690258438319,2,0
"blue skullcap",0.15,0.670820393249937,3,0
"bluegrass",0.025,0.111803398874989,0.5,0
"bog loosestrife",0.05,0.153896752812773,0.5,0
"coastal pearlwort",0.325,0.519994939246629,2,0
"colonial bentgrass",2.925,3.88747990348503,13,0
"common dandelion",0.375,0.559016994374947,2,0
"Common horsetail ",0.025,0.111803398874989,0.5,0
"common plantain",1,1.63835604381825,6,0
"common rush",0.15,0.489360484929593,2,0
"common silverweed",0.175,0.494043467084042,2,0
"common sow-thistle",0.075,0.244680242464796,1,0
"common spike-rush",0.2,0.615587011251092,2,0
"creeping buttercup",0.35,1.08942283125661,4,0
"Douglas' aster",0.575,1.22769574492431,5,0
"Douglas' aster ",0.35,0.745159820370595,3,0
"Douglas' water-hemlock",0.05,0.153896752812773,0.5,0
"European forget-me-not ",3.05,4.54480617385326,15,0
"ground",27.935,24.3948932317703,79.5,0
"Ground ",2.75,12.2983738762488,55,0
"horehound",3.7,6.27945689907721,21,0
"jointed rush",0.075,0.244680242464796,1,0
"lesser spearwort",0.5,2.23606797749979,10,0
"log",3.4,9.51121222004518,40,0
"low clubrush",0.175,0.674244216258393,3,0
"Lyngbye's sedge",2.075,2.96148522482252,11,0
"Pacific water-parsley",0.05,0.153896752812773,0.5,0
"perennial ryegrass",0.05,0.223606797749979,1,0
"persicaria",0.05,0.223606797749979,1,0
"pigmyweed",0.1,0.205195670417031,0.5,0
"pond water-starwort",0.025,0.111803398874989,0.5,0
"purple-leaved willowherb",0.15,0.28562028528874,1,0
"purple loosestrife",0.89,1.23113127266198,4,0
"reed canarygrass",3.65,5.76993113157843,22,0
"ribwort plantain",1.575,2.17204124221773,7,0
"rock",3.9,8.58333759155064,35,0
"rock ",2.5,7.86397515657049,30,0
"self-heal",1.975,5.54758126526659,25,0
"slender rush",0.05,0.223606797749979,1,0
"slough sedge",1.65,6.70643838333535,30,0
"small bedstraw",0.25,0.5,2,0
"small spike-rush",0.075,0.183173774266262,0.5,0
"spreading rush",16.2,13.08212923278,45,1
"spring moss",0.95,2.05131536747573,9,0
"springbank clover",0.05,0.223606797749979,1,0
"swamp horsetail",0.2,0.470162345981627,2,0
"tall fescue",6.925,8.10015431951762,25,0
"three-parted beggarticks",0.075,0.244680242464796,1,0
"thyme-leaved speedwell",0.225,0.499341671867227,2,0
"water-parsnip",0.025,0.111803398874989,0.5,0
"water mudwort",0.075,0.183173774266262,0.5,0
"western dock",0.15,0.328473342665893,1,0
"western lilaeopsis",2.125,3.59778806315331,15,0
"western St. John's-wort",1.225,2.30830879079992,9,0
"white clover",0.475,1.78793470974636,8,0
"yellow iris",2,4.40095683376145,17,0
"yellow oxalis",0.025,0.111803398874989,0.5,0
