"","pcMean","pcSD","pcMax","pcMin"
"Baltic rush ",0.184210526315789,0.691426189436441,3,0
"birds-foot trefoil ",0.578947368421053,2.29288245261733,10,0
"blue skullcap",0.105263157894737,0.458831467741124,2,0
"bog loosestrife",0.0526315789473684,0.229415733870562,1,0
"colonial bentgrass",6.05263157894737,12.8818290808346,50,0
"common cattail",0.263157894736842,1.14707866935281,5,0
"common horsetail",0.157894736842105,0.335519149103601,1,0
"common plantain",0.0263157894736842,0.114707866935281,0.5,0
"common spike-rush",0.0789473684210526,0.25072992856064,1,0
"European forget-me-not ",16.1052631578947,30.6333963308059,95,0
"ground",25.5526315789474,26.5109488580987,81,0
"Himalayan blackberry ",3.39473684210526,9.90872083258034,42,0
"horehound",2.02631578947368,5.93125826122953,26,0
"jointed rush",1.10526315789474,4.8177304112818,21,0
"little western bitter-cress",0.105263157894737,0.458831467741124,2,0
"Lyngbye's sedge",5.15789473684211,18.0501251392853,77,0
"marsh yellow cress",0.131578947368421,0.280975743474508,1,0
"moss",6.19473684210526,18.2619359349869,69.7,0
"nodding beggarticks",0.105263157894737,0.458831467741124,2,0
"perennial ryegrass",0.0526315789473684,0.229415733870562,1,0
"persicaria",0.421052631578947,0.692482608982125,2,0
"pointed rush",1.10526315789474,4.8177304112818,21,0
"purple-leaved willowherb",0.131578947368421,0.326688148237475,1,0
"purple loosestrife",1.97368421052632,4.01896090844707,15,0
"reed canarygrass",14,17.2143351115671,65,0
"rice cutgrass",0.263157894736842,1.14707866935281,5,0
"rock",0.263157894736842,1.14707866935281,5,0
"self-heal",0.0526315789473684,0.229415733870562,1,0
"slough sedge",7.78947368421053,18.9255234695501,75,0
"small bedstraw",0.421052631578947,0.803864932939208,3,0
"spotted touch-me-not ",2.25263157894737,3.87461373287033,12,0
"spreading rush",0.526315789473684,1.71167302993402,7,0
"three-parted beggarticks",0.105263157894737,0.315301767642306,1,0
"western dock",0.105263157894737,0.458831467741124,2,0
"western St. John's-wort",2.13157894736842,5.13928795668762,18,0
"willow",1.05263157894737,4.58831467741124,20,0
"yellow iris",2.05263157894737,3.6851606961875,13,0
"yellow monkey-flower",0.105263157894737,0.315301767642306,1,0
