"","pcMean","pcSD","pcMax","pcMin"
"bare ground",1.9,7.21037264530832,32,0
"blue cattail",16.1,30.2357404407433,80,0
"broad-leaved arrowhead",4.35,8.08035304075001,30,0
"colonial bentgrass",2.4,8.9877109081468,40,0
"common cattail",9.1,18.2552083411542,60,0
"common spike-rush",0.15,0.489360484929593,2,0
"creeping bentgrass",0.1,0.447213595499958,2,0
"Dichodontium moss",0.35,1.56524758424985,7,0
"Douglas' aster",0.25,1.11803398874989,5,0
"European forget-me-not ",1.2,4.51430474917468,20,0
"ground",15.475,23.1382998738592,77,0
"Himalayan blackberry ",0.025,0.111803398874989,0.5,0
"horehound",0.4,1.56944509134179,7,0
"leaf litter",3,13.4164078649987,60,0
"lesser cattail",8,19.9604872844222,65,0
"litter",12.25,21.1806142746765,70,0
"log",0.75,3.35410196624968,15,0
"Lyngbye's sedge",5.85,18.7287423356104,80,0
"narrow-leaved bur-reed ",0.3,0.923380516876639,3,0
"nodding beggarticks",0.05,0.223606797749979,1,0
"pointed rush",0.1,0.447213595499958,2,0
"pond-water starwort",0.025,0.111803398874989,0.5,0
"purple-leaved willowherb",0.125,0.455232734000163,2,0
"purple loosestrife",0.75,2.44680242464796,10,0
"reed canarygrass",8.55,22.2224992672789,85,0
"rice cutgrass",0.45,1.46808145478878,6,0
"slender rush",0.05,0.223606797749979,1,0
"small-flowered bulrush",0.5,2.23606797749979,10,0
"small bedstraw",0.05,0.153896752812773,0.5,0
"soft-stemmed bulrush ",4.2,15.5989203405067,70,0
"spotted touch-me-not",1.95,7.83027189149501,35,0
"spring moss",0.35,1.56524758424985,7,0
"swamp horsetail",9,22.9255086610618,75,0
"water-parsnip",0.1,0.447213595499958,2,0
"water-plantain",1.45,4.53611240926343,20,0
"wood debris",0.5,2.23606797749979,10,0
"yellow iris",0.2,0.894427190999916,4,0
"yellow marsh-marigold",0.5,1.82093093600065,8,0
