"","pcMean","pcSD","pcMax","pcMin"
"American bulrush ",0.0294117647058824,0.121267812518166,0.5,0
"blue water speedwell",0.117647058823529,0.332105582077536,1,0
"bog loosestrife",0.0882352941176471,0.264297069935462,1,0
"broad-leaved arrowhead",0.529411764705882,1.3746657347708,5,0
"coast silverweed",1.47058823529412,2.98156098082078,10,0
"colonial bentgrass",7,8.57321409974112,27,0
"common cattail",3.52941176470588,10.5718827974185,40,0
"common rush",0.470588235294118,1.94028500029066,8,0
"common spike-rush",9.94117647058824,15.3153133670001,42,0
"creeping bentgrass",1.52941176470588,4.91321746743953,20,0
"Douglas' aster",0.764705882352941,1.92124346988825,7,0
"emersed bur-reed",0.294117647058824,1.21267812518166,5,0
"European forget-me-not ",7.41176470588235,11.236429723946,45,0
"ground",5.35294117647059,14.6711501614162,49,0
"horehound",2.17647058823529,4.12667078462844,15,0
"jointed rush",7,15.6923548264752,50,0
"log",4.41176470588235,12.485285456936,40,0
"Lyngbye's sedge",27.1764705882353,37.0826531111881,95,0
"nodding beggarticks",0.205882352941176,0.397603112782229,1,0
"Pacific water-parsley",1,2.66926956300783,9,0
"persicaria",0.441176470588235,0.99816007203843,4,0
"pigmyweed",0.352941176470588,0.996316746232607,4,0
"pointed rush",0.823529411764706,1.38000426256801,5,0
"pond-water starwort",0.294117647058824,1.21267812518166,5,0
"purple-leaved willowherb",0.529411764705882,0.874474632195206,3,0
"purple loosestrife",1.64705882352941,2.14887111265974,8,0
"reed canarygrass",5.41176470588235,13.2195821772542,50,0
"rice cutgrass",0.0588235294117647,0.242535625036333,1,0
"Sitka sedge ",3.23529411764706,13.3394593769983,55,0
"small bedstraw",6.52941176470588,14.6463205578177,60,0
"small spike-rush",0.0294117647058824,0.121267812518166,0.5,0
"spotted touch-me-not",0.441176470588235,1.27331203144075,5,0
"sprading rush",1,4.12310562561766,17,0
"spreading rush",0.294117647058824,1.21267812518166,5,0
"springbank clover",2.17647058823529,8.46489289741494,35,0
"swamp horsetail",1,1.17260393995586,4,0
"three-parted beggarticks",0.117647058823529,0.485071250072666,2,0
"ussurian water-milfoil",0.0882352941176471,0.264297069935462,1,0
"water-parsnip",0.411764705882353,0.939336436627724,3,0
"water-plantain",0.176470588235294,0.392952623996688,1,0
"water mudwort",0.0588235294117647,0.166052791038768,0.5,0
"western dock",0.117647058823529,0.485071250072666,2,0
"western lilaeopsis",0.529411764705882,0.819118967154919,3,0
"wool-grass",2.35294117647059,5.89428935995032,20,0
"yellow iris",1.17647058823529,3.76223494278413,15,0
"yellow monkey-flower",0.323529411764706,0.683309420911114,2,0
