"","pcMean","pcSD","pcMax","pcMin"
"Baltic rush ",4.24,11.6620109758137,45,0
"beaked sedge",7.4,13.3603892158874,50,0
"bluegrass",0.04,0.2,1,0
"clustered dock",0.04,0.2,1,0
"colonial bentgrass",1.98,5.32775750198899,20,0
"common cattail",2.48,4.01164970222144,15,0
"common horsetail",0.04,0.2,1,0
"common mugwort",0.04,0.2,1,0
"common rush",0.04,0.2,1,0
"common spike-rush",0.44,0.916515138991168,3,0
"Douglas' aster",0.88,1.87794213613377,6,0
"European forget-me-not ",5.04,8.36401020244874,30,0
"field mint",0.04,0.2,1,0
"ground",14.24,24.5089779468667,85,0
"Ground ",2,10,50,0
"horehound",1.08,3.16122339187431,15,0
"jointed rush",0.14,0.339116499156263,1,0
"log",1.32,4.58911756223351,18,0
"Lyngbye's sedge",14.18,21.0489904746047,68,0
"marsh cinquefoil",4.28,16.6721324370939,80,0
"marsh peavine",0.56,2.41660919471891,12,0
"pointed rush",0.06,0.219848432637882,1,0
"pond-water starwort",0.02,0.1,0.5,0
"purple-leaved willowherb",0.58,1.38202749610853,5,0
"purple loosestrife",4.48,4.42408182564473,20,0
"reed canarygrass",23.16,30.1809542592675,100,0
"rice cutgrass",0.08,0.276887462097269,1,0
"small-flowered bulrush",4.88,7.79593911383784,25,0
"small bedstraw",4.7,13.1845869610441,50,0
"soft-stemmed bulrush",0.16,0.472581562625261,2,0
"spotted touch-me-not",7.52,7.32074677429382,27,0
"spreading rush",1.8,4.41588043316392,20,0
"stalked birds-foot trefoil",0.24,0.830662386291807,3,0
"swamp horestail",1.084,1.69107460903809,7,0
"tall fescue",2.48,10.042078138181,50,0
"water-parsnip",0.12,0.439696865275764,2,0
"water-plantain",0.16,0.472581562625261,2,0
"western lilaeopsis",0.04,0.138443731048635,0.5,0
"willow",0.08,0.4,2,0
"wool-grass",1,3.53553390593274,15,0
"yellow iris",2.48,3.96988664825584,10,0
