"","pcMean","pcSD","pcMax","pcMin"
"Baltic rush ",8.515,20.6312046488604,75,0
"colonial bentgrass ",5.85,5.0265086763761,15,0
"common silverweed",2.125,2.40544885843086,7,0
"common spike-rush",0.2,0.34027852368936,1,0
"creeping bentgrass ",0.05,0.223606797749979,1,0
"Douglas' aster",0.35,1.34848843251679,6,0
"European forget-me-not",0.175,0.674244216258393,3,0
"European forget-me-not ",2.4,7.0666004631126,30,0
"ground",17.375,15.0952022702231,48.5,0
"horehound",3.3,6.42445983803513,22,0
"jointed rush",0.25,1.11803398874989,5,0
"lesser spearwort",0.325,1.12711788950496,5,0
"Lyngbye's sedge ",57.15,20.9693385182923,85,12
"marshpepper smartweed",0.525,0.993068079502264,3,0
"pointed rush",0.05,0.223606797749979,1,0
"pond water-starwort",0.175,0.2935714743062,1,0
"purple-leaved willowherb",0.2,0.615587011251092,2,0
"purple loosestrife",0.15,0.366347548532523,1,0
"reed canarygrass",1.05,3.23590059049702,11,0
"small bedstraw",1.35,2.36253654942488,9,0
"small spike-rush",0.55,2.22958575335845,10,0
"soft-stemmed bulrush",0.2,0.695852373938459,3,0
"spreading rush",0.15,0.670820393249937,3,0
"springbank clover",0.05,0.223606797749979,1,0
"swamp horsetail",0.025,0.111803398874989,0.5,0
"water-plantain",0.025,0.111803398874989,0.5,0
"water mint",0.05,0.223606797749979,1,0
"water mudwort",0.125,0.22213082915966,0.5,0
"western dock",0.1,0.447213595499958,2,0
"western lilaeopsis",1.1,0.680557047378721,3,0
"yellow monkey-flower",0.35,0.670820393249937,2,0
