"","pcMean","pcSD","pcMax","pcMin"
"Baltic rush",8.75,24.7487373415292,70,0
"bare ground",16.875,13.0650843308196,35,0
"birds-foot trefoil",0.25,0.707106781186548,2,0
"common cattail",2.75,5.20302110042123,15,0
"common dandelion",0.3125,0.703942976586679,2,0
"common horsetail",0.75,2.12132034355964,6,0
"common rush",0.375,1.06066017177982,3,0
"common silverweed",2.75,6.01783064852158,17,0
"common spike-rush",0.625,1.18773493916542,3,0
"creeping bentgrass",0.0625,0.176776695296637,0.5,0
"Douglas' aster",0.125,0.353553390593274,1,0
"European forget-me-not",0.5,1.4142135623731,4,0
"Himalayan blackberry ",1.25,3.53553390593274,10,0
"horehound",1.75,3.24037034920393,7,0
"jointed rush",1.125,2.10017006114131,5,0
"log",25.625,39.7705472500873,95,0
"Lyngbe's sedge",3,6.16441400296898,17,0
"purple loosestrife",0.75,1.16496474502144,3,0
"reed canarygrass",0.125,0.353553390593274,1,0
"ribwort plantain",0.8125,2.10335616167523,6,0
"small bedstraw",1.25,3.53553390593274,10,0
"springbank clover",0.375,1.06066017177982,3,0
"swamp horsetail",2.4375,3.28891536615254,10,0
"tall fescue",1.5,4.24264068711928,12,0
"white sweet-clover ",0.875,2.47487373415292,7,0
"willow",1.25,3.53553390593274,10,0
"wood debris",28.625,40.963180331331,99,0
"yellow iris",2.8125,7.75489476763823,22,0
