"","pcMean","pcSD","pcMax","pcMin"
"Baltic rush ",4.6,14.1985914794391,45,0
"coast silverweed",1.3,3.19895816373602,10,0
"colonial bentgrass",14.1,14.2474169198802,45,1
"common rush",0.7,2.21359436211787,7,0
"common spike-rush",3.35,5.50782271965167,16,0
"common watercress",0.1,0.316227766016838,1,0
"European forget-me-not ",30.75,27.8919044407752,72,0
"ground",9.25,12.5460263740269,34,0
"horehound",0.1,0.316227766016838,1,0
"jointed rush",1.35,3.18023409341025,10,0
"low clubrush",0.05,0.158113883008419,0.5,0
"Lyngbye's sedge ",20.7,27.1090390829332,60,0
"narrow-leaved bur-reed",2.65,6.21847605482601,20,0
"nodding beggarticks",0.1,0.316227766016838,1,0
"persicaria",0.45,0.685160159703149,2,0
"pigmyweed",0.5,0.408248290463863,1,0
"pointed rush",0.1,0.316227766016838,1,0
"pond water-starwort",1.3,1.47572957474524,4,0
"purple-leaved willowherb",0.4,0.699205898780101,2,0
"purple loosestrife",2.8,2.39443799947573,8,0
"reed canarygrass",0.45,0.83166499665831,2,0
"rice cutgrass",0.1,0.316227766016838,1,0
"small bedstraw",0.15,0.337474278855276,1,0
"small spike-rush",0.15,0.337474278855276,1,0
"spreading rush",0.45,1.25720147770974,4,0
"Ussurian water-milfoil ",8.1,12.3666217429552,30,0
"water-plantain",0.05,0.158113883008419,0.5,0
"water mudwort",0.05,0.158113883008419,0.5,0
"western lilaeopsis",0.45,0.643341968853959,2,0
