"","pcMean","pcSD","pcMax","pcMin"
"American speedwell",0.35,0.668746754924629,2,0
"Asian knotweed",0.4,0.843274042711568,2,0
"Asian knotweed ",0.4,1.26491106406735,4,0
"Baltic rush",6.7,15.1294414966317,45,0
"Baltic rush ",16.3,26.4409194662784,85,0
"bare ground",54.3,38.2304416226999,95,0
"Bare ground ",8,25.298221281347,80,0
"common dandelion",0.05,0.158113883008419,0.5,0
"common horsetail",0.7,2.21359436211787,7,0
"common horsetail ",0.05,0.158113883008419,0.5,0
"common plantain",0.4,1.26491106406735,4,0
"common plantain ",0.35,0.668746754924629,2,0
"common rush",1.7,5.37587202228625,17,0
"common silverweed ",0.1,0.316227766016838,1,0
"common spike-rush",0.05,0.158113883008419,0.5,0
"creeping bentgrass",0.1,0.316227766016838,1,0
"creeping buttercup",0.1,0.316227766016838,1,0
"European hawkweed",0.7,1.15950180872841,3,0
"fine fescue",0.5,1.58113883008419,5,0
"ground",6,16.062378404209,51,0
"Himalayan blackberry ",0.05,0.158113883008419,0.5,0
"Kentucky bluegrass ",0.2,0.421637021355784,1,0
"large-leaved avens",1,3.16227766016838,10,0
"Lyngbye's sedge ",0.6,1.57762127549323,5,0
"marshpepper smartweed",2.2,1.73525534464272,5,0
"northern starwort",0.1,0.316227766016838,1,0
"pigmyweed",0.05,0.158113883008419,0.5,0
"pond water-starwort",0.05,0.158113883008419,0.5,0
"purple-leaved willowherb",2.1,2.92308816911917,8,0
"purple loosestrife",0.1,0.316227766016838,1,0
"red clover",0.3,0.948683298050514,3,0
"reed canarygrass",1,3.16227766016838,10,0
"tapered rush",0.05,0.158113883008419,0.5,0
"water-purslane",0.1,0.316227766016838,1,0
"water-purslane ",0.4,0.699205898780101,2,0
"water mudwort",0.05,0.158113883008419,0.5,0
"white sweet-clover",0.1,0.316227766016838,1,0
"wool-grass",1.2,3.79473319220206,12,0
