"","pcMean","pcSD","pcMax","pcMin"
"Baltic rush ",76.5625,26.8699801513387,100,0
"birds-foot trefoil",0.71875,1.57023087474422,6,0
"coast silverweed",1.21875,1.29059094991403,5,0
"colonial bentgrass",4.28125,5.33531864090609,17,0
"common horsetail",0.0625,0.25,1,0
"Douglas' aster",0.1875,0.51234753829798,2,0
"ground",5.71875,10.5070908596687,39,0
"hairy cat's-ear",0.15625,0.352077169571293,1,0
"horehound",0.53125,1.20372685162928,4,0
"little western bitter-cress ",0.03125,0.125,0.5,0
"Lyngbye's sedge ",3.125,5.05799696849784,17,0
"marsh yellow cress",0.1875,0.75,3,0
"Pacific water-parsley",0.15625,0.352077169571293,1,0
"pigmyweed",0.34375,0.352077169571293,1,0
"pond-water starwort",0.1875,0.25,0.5,0
"purple-leaved willowherb",0.0625,0.25,1,0
"purple loosestrife",1.03125,1.13238318014119,4,0
"ribwort plantain",0.125,0.341565025531987,1,0
"rock",1.1875,3.37083075813664,12,0
"sea-milkwort",0.125,0.5,2,0
"small bedstraw",0.125,0.341565025531987,1,0
"small spike-rush",1.75,4.94300853057461,20,0
"water-parsnip",0.1875,0.75,3,0
"water mudwort",0.03125,0.125,0.5,0
"western lilaeopsis",0.28125,0.515388203202208,2,0
"yellow iris",6.625,24.9449393665328,100,0
