"","pcMean","pcSD","pcMax","pcMin"
"Baltic rush ",25.94,32.5324581507966,97,0
"beach bluegrass",0.4,2,10,0
"Canada goldenrod",0.08,0.4,2,0
"colonial bentgrass",0.6,2.39791576165636,12,0
"common plantain",0.2,0.707106781186548,3,0
"common silverweed",2.98,3.68691379521319,12,0
"common spike-rush",0.24,0.830662386291807,3,0
"creeping bentgrass",0.4,1.5,7,0
"Douglas' aster ",0.72,2.11187120819429,9,0
"ground",5.48,6.7213589895695,20,0
"horehound",0.08,0.276887462097269,1,0
"lesser cattail",0.24,0.597215762238964,2,0
"log",2.6,8.05191488612077,35,0
"low clubrush",0.08,0.4,2,0
"Lyngbye's sedge ",56.12,38.0805834163991,100,0
"perennial sow thistle",0.16,0.553774924194538,2,0
"purple loosestrife",3.54,6.0654760736483,23,0
"red fescue",0.8,4,20,0
"reed canarygrass",2.26,7.90189850605536,35,0
"soft-stemmed bulrush",0.2,0.816496580927726,4,0
"springbank clover",0.04,0.2,1,0
"stalked bird-foot trefoil",0.4,2,10,0
"water-plantain",0.08,0.276887462097269,1,0
"western dock",0.08,0.4,2,0
"western lilaeopsis",0.36,1.03601801786134,5,0
"willow",0.02,0.1,0.5,0
"willow weed",0.08,0.4,2,0
"yellow iris",0.24,0.830662386291807,3,0
