"","pcMean","pcSD","pcMax","pcMin"
"bare ground",14.3,15.8888500388025,45,0
"broad-leaved arrowhead",0.8,1.13529242439509,3,0
"common cattail",9,16.6065582761082,50,0
"common horsetail",0.2,0.421637021355784,1,0
"common silverweed",0.1,0.316227766016838,1,0
"common spike-rush ",12.4,16.4668016188802,50,0
"creeping bentgrass",23.7,28.8715546285036,80,0
"creeping buttercup",0.8,1.75119007154183,5,0
"flowering quillwort",0.1,0.316227766016838,1,0
"ground",1.6,5.05964425626941,16,0
"horehound",0.5,0.97182531580755,3,0
"lamb's quarters",0.2,0.632455532033676,2,0
"leaf litter",5,15.8113883008419,50,0
"Lyngbye's sedge",9.4,18.4523410137817,60,0
"nodding beggarticks",0.2,0.421637021355784,1,0
"Pacific water-parsley ",1.7,3.33499958354154,10,0
"pond water-starwort",0.1,0.316227766016838,1,0
"purple-leaved willowherb",0.3,0.948683298050514,3,0
"purple loosestrife",4.5,9.09517576642817,30,0
"reed canarygrass",18.6,27.7015843911098,90,0
"small-flowered bulrush",2,6.32455532033676,20,0
"small bedstraw",0.1,0.316227766016838,1,0
"small spike-rush",1,3.16227766016838,10,0
"soft-stemmed bulrush",0.8,1.61932770686548,5,0
"spotted touch-me-not",0.2,0.632455532033676,2,0
"spring water-starwort",0.4,0.699205898780101,2,0
"tapered rush",0.1,0.316227766016838,1,0
"water-parsnip",1.3,1.70293863659264,5,0
"water-plantain",4,3.23178657161089,9,0
"water mudwort",0.2,0.632455532033676,2,0
"western lilaeopsis",0.1,0.316227766016838,1,0
"white mustard",0.4,1.26491106406735,4,0
"yellow iris",0.1,0.316227766016838,1,0
