SITE_ID,PLOT,COMMUNITY,Scientific,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH
13-010,1,1,Plantago major,common plantain,15,E,
13-010,1,1,Plantago lanceolata,ribwort plantain,3,E,
13-010,1,1,Trifolium repens,white clover,45,E,
13-010,1,1,Agrostis capillaris,colonial bentgrass,5,E,
13-010,1,1,Prunella vulgaris ssp. vulgaris ,self-heal,3,E,
13-010,1,1,Lapsana communis,nipplewort,1,E,
13-010,2,1,Agrostis capillaris,colonial bentgrass,15,E,
13-010,2,1,Prunella vulgaris ssp. vulgaris ,self-heal,1,E,
13-010,2,1,Plantago major,common plantain,5,E,
13-010,2,1,Trifolium repens,white clover,4,E,
13-010,2,1,Festuca sp.,fine fescue,0.5,E,
13-010,3,1,Plantago major,common plantain,2,E,
13-010,3,1,Prunella vulgaris ssp. vulgaris ,self-heal,3,E,
13-010,3,1,Agrostis capillaris,colonial bentgrass,1,E,
13-010,3,1,Trifolium repens,white clover,0.5,E,
13-010,4,1,Trifolium repens,white clover,5,E,
13-010,4,1,Prunella vulgaris ssp. vulgaris ,self-heal,5,E,
13-010,4,1,Agrostis capillaris,colonial bentgrass,4,E,
13-010,4,1,Plantago lanceolata,ribwort plantain,2,E,
13-010,5,1,Trifolium repens,white clover,20,E,
13-010,5,1,Plantago lanceolata,ribwort plantain,8,E,
13-010,5,1,Taraxacum officinale,common dandelion,2,E,
13-010,5,1,Agrostis capillaris,colonial bentgrass,10,E,
13-010,5,1,Plantago major,common plantain,0.5,E,
13-010,5,1,Lotus pedunculatus,stalked birds-foot trefoil ,5,E,
13-010,5,1,Echinochloa crus-galli,large barnyard-grass ,1,E,
13-010,5,1,Prunella vulgaris ssp. vulgaris ,self-heal,1,E,
13-010,6,1,Plantago lanceolata,ribwort plantain,7,E,
13-010,6,1,Trifolium repens,white clover,6,E,
13-010,6,1,Ranunculus repens,creeping buttercup,0.5,E,
13-010,6,1,Prunella vulgaris ssp. vulgaris ,self-heal,1,E,
13-010,6,1,Agrostis capillaris,colonial bentgrass,4,E,
13-010,7,1,Schedonorus arundinaceus,tall fescue,6,E,
13-010,7,1,Veronica anagallis-aquatica,blue water speedwell ,2,E,
13-010,7,1,Prunella vulgaris ssp. vulgaris ,self-heal,0.5,E,
13-010,7,1,Plantago major,common plantain,1,E,
13-010,8,1,Plantago lanceolata,ribwort plantain,5,E,
13-010,8,1,Ranunculus repens,creeping buttercup,2,E,
13-010,8,1,Prunella vulgaris ssp. vulgaris ,self-heal,1,E,
13-010,8,1,Agrostis capillaris,colonial bentgrass,12,E,
13-010,8,1,Lotus pedunculatus,stalked birds-foot trefoil ,4,E,
13-010,8,1,Veronica serpyllifolia var. humifusa,thyme-leaved speedwell,1,E,
13-010,9,1,Veronica serpyllifolia var. humifusa,thyme-leaved speedwell,4,E,
13-010,9,1,Schedonorus arundinaceus,tall fescue,3,E,
13-010,9,1,Plantago major,common plantain,1,E,
13-010,9,1,Poa annua,annual bluegrass,0.5,E,
13-010,10,1,Poa annua,annual bluegrass,1,E,
13-010,10,1,Plantago major,common plantain,2,E,
13-010,10,1,Prunella vulgaris ssp. vulgaris ,self-heal,1,E,
13-010,10,1,Sonchus oleraceus,common sow-thistle ,1,E,
13-010,11,1,Schedonorus arundinaceus,tall fescue,2,E,
13-010,11,1,Festuca sp.,fine fescue,0.5,E,
13-010,11,1,Poa annua,annual bluegrass,2,E,
13-010,11,1,Plantago major,common plantain,0.5,E,
13-010,12,1,Lotus pedunculatus,stalked birds-foot trefoil ,20,E,
13-010,12,1,Rumex aquaticus,western dock,1,E,
13-010,12,1,Agrostis capillaris,colonial bentgrass,14,E,
13-010,12,1,Prunella vulgaris ssp. vulgaris ,self-heal,1,E,
13-010,12,1,Plantago major,common plantain,0.5,E,
13-010,12,1,Taraxacum officinale,common dandelion,1,E,
13-010,13,1,Ranunculus repens,creeping buttercup,7,E,
13-010,13,1,Veronica serpyllifolia var. humifusa,thyme-leaved speedwell,1,E,
13-010,13,1,Taraxacum officinale,common dandelion,1,E,
13-010,13,1,Agrostis capillaris,colonial bentgrass,1,E,
13-010,13,1,Rumex aquaticus,western dock,1,E,
13-010,13,1,Poa annua,annual bluegrass,1,E,
13-010,13,1,Trifolium repens,white clover,1,E,
13-010,14,1,Prunella vulgaris ssp. vulgaris ,self-heal,3,E,
13-010,14,1,Plantago major,common plantain,4,E,
13-010,14,1,Schedonorus arundinaceus,tall fescue,3,E,
13-010,14,1,Agrostis capillaris,colonial bentgrass,10,E,
13-010,14,1,Veronica serpyllifolia var. humifusa,thyme-leaved speedwell,1,E,
13-010,14,1,Veronica anagallis-aquatica,blue water speedwell ,1,E,
13-010,15,1,Lotus pedunculatus,stalked birds-foot trefoil ,37,E,
13-010,15,1,Plantago lanceolata,ribwort plantain,5,E,
13-010,15,1,Plantago major,common plantain,2,E,
13-010,15,1,Festuca sp.,fine fescue,3,E,
13-010,15,1,Agrostis capillaris,colonial bentgrass,5,E,
13-010,15,1,Lysimachia terrestris,bog loosestrife,1,E,
13-010,15,1,Trifolium repens,white clover,2,E,
13-010,15,1,Prunella vulgaris ssp. vulgaris ,self-heal,2,E,
13-010,2,1,Iris pseudacorus,yellow iris,3,I,
13-010,3,1,Clematis vitalba,traveler's joy,1,I,
13-010,4,1,Convolvulus arvensis,field bindweed ,2,I,
13-010,4,1,Hypericum perforatum,common St. John's-wort ,10,I,
13-010,5,1,Clematis vitalba,traveler's joy,0.5,I,
13-010,8,1,Iris pseudacorus,yellow iris,4,I,
13-010,9,1,Clematis vitalba,traveler's joy,0.5,I,
13-010,10,1,Lythrum salicaria,purple loosestrife,2,I,
13-010,12,1,Iris pseudacorus,yellow iris,1,I,
13-010,12,1,Phalaris arundinacea,reed canarygrass,1,I,
13-010,12,1,Lythrum salicaria,purple loosestrife,0.5,I,
13-010,14,1,Lythrum salicaria,purple loosestrife,1,I,
13-010,14,1,Clematis vitalba,traveler's joy,1,I,
13-010,15,1,Clematis vitalba,traveler's joy,1,I,
13-010,15,1,Hypericum perforatum,common St. John's-wort ,0.5,I,
13-010,1,1,Juncus tenuis,slender rush,5,N,27.0
13-010,1,1,Epilobium ciliatum,purple-leaved willowherb,1,N,
13-010,1,1,Hypericum scouleri ssp. scouleri,western St. John's-wort,3,N,
13-010,1,1,Juncus articulatus,jointed rush,2,N,
13-010,1,1,Lilaeopsis occidentalis,western lilaeopsis,0.5,N,
13-010,2,1,Hypericum scouleri ssp. scouleri,western St. John's-wort,3,N,
13-010,2,1,Epilobium ciliatum,purple-leaved willowherb,1,N,
13-010,2,1,Galium trifidum,small bedstraw,0.5,N,
13-010,2,1,Juncus articulatus,jointed rush,3,N,
13-010,2,1,Carex lyngbyei ,Lyngbye's sedge,2,N,
13-010,3,1,Juncus articulatus,jointed rush,5,N,24.0
13-010,3,1,Cardamine oligosperma,little western bitter-cress,1,N,
13-010,3,1,Hypericum scouleri ssp. scouleri,western St. John's-wort,1,N,
13-010,3,1,Lilaeopsis occidentalis,western lilaeopsis,1,N,
13-010,3,1,Sagina maxima,coastal pearlwort,0.5,N,
13-010,3,1,Juncus tenuis,slender rush,1,N,
13-010,4,1,Juncus articulatus,jointed rush,3,N,
13-010,4,1,Epilobium ciliatum,purple-leaved willowherb,1,N,
13-010,4,1,Sagina maxima,coastal pearlwort,0.5,N,
13-010,4,1,Lilaeopsis occidentalis,western lilaeopsis,0.5,N,
13-010,4,1,Hypericum scouleri ssp. scouleri,western St. John's-wort,1,N,
13-010,5,1,Juncus articulatus,jointed rush,10,N,
13-010,5,1,Hypericum scouleri ssp. scouleri,western St. John's-wort,3,N,
13-010,5,1,Galium trifidum,small bedstraw,1,N,
13-010,5,1,Lilaeopsis occidentalis,western lilaeopsis,0.5,N,
