Site_Number,COMMUNITY,PLOT,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH_CM,COMMENTS
02-012,RIP,5,CALLSTA,0.1,E,,
02-012,RIP,5,LYCOEUR,0.1,E,,
02-012,RIP,5,LYTHSAL,2,I,,
02-012,RIP,5,MUD,13,S,,
02-012,RIP,5,PHALARU,5,I,,
02-012,RIP,5,REYNJAP,80,I,,
02-012,RIP,7,CALLSTA,0.1,E,,
02-012,RIP,7,MUD,97,S,,
02-012,RIP,7,MYOSSCO,0.1,E,,
02-012,RIP,7,PERSSP,0.1,U,,
02-012,RIP,7,PHALARU,2,I,,riparian edge
02-012,RIP,7,RUBUARM,1,I,,
02-012,RIP,10,LYTHSAL,0.1,I,,
02-012,RIP,10,MUD,21,S,,
02-012,RIP,10,OENASAR,0.1,N,,
02-012,RIP,10,PHALARU,70,I,,edge of riparian area
02-012,RIP,10,REYNJAP,5,I,,
02-012,RIP,10,RUBUARM,1,I,,
02-012,RIP,10,RUMESP,2,U,,
02-012,RIP,10,SALIPAC,1,N,,
02-012,RIP,11,CARELYN,2,N,59,
02-012,RIP,11,LYCOEUR,0.1,E,,
02-012,RIP,11,LYTHSAL,5,I,,
02-012,RIP,11,MUD,82,S,,
02-012,RIP,11,PHALARU,1,I,,
02-012,RIP,11,REYNJAP,10,I,,
02-012,RIP,11,SCHOTAB,0.1,N,,
02-012,RIP,11,SIUMSUA,0.1,N,,
02-012,2,2,MUD,100,S,,
02-012,2,2,ROCK,0.1,S,,
02-012,2,3,MUD,100,S,,eroded mudflat
02-012,2,4,MUD,100,S,,
02-012,2,6,ALISTRI,0.1,N,,
02-012,2,6,CALLSTA,0.1,E,,
02-012,2,6,LYCOEUR,0.1,E,,
02-012,2,6,MUD,100,S,,
02-012,2,6,PERSSP,0.1,U,,
02-012,2,8,MUD,100,S,,moved to 10 U 493339 5449697
02-012,2,9,MUD,100,S,,edge of drainage ditch
02-012,2,9,ROCK,0.1,S,,
