Site_Number,COMMUNITY,PLOT,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH_CM,COMMENTS
Ref4,1,7,AGROSTO,0.1,E,,
Ref4,1,2,ALISLAN,0.1,E,,
Ref4,1,6,ALISLAN,1,E,,
Ref4,1,20,ALISLAN,0.1,E,,
Ref4,1,6,CALLSTA,0.1,E,,
Ref4,1,7,CALLSTA,1,E,,
Ref4,1,12,CALLSTA,0.1,E,,
Ref4,1,4,IMPACAP,0.1,E,,
Ref4,1,5,LYCOEUR,4,E,,
Ref4,1,8,LYCOEUR,2,E,,
Ref4,1,14,LYCOEUR,0.1,E,,
Ref4,1,17,LYCOEUR,2,E,,
Ref4,1,18,LYCOEUR,1,E,,
Ref4,1,1,MYOSSCO,3,E,,
Ref4,1,3,MYOSSCO,1,E,,
Ref4,1,6,MYOSSCO,0.1,E,,
Ref4,1,7,MYOSSCO,6,E,,
Ref4,1,11,MYOSSCO,0.1,E,,
Ref4,1,12,MYOSSCO,0.1,E,,
Ref4,1,13,MYOSSCO,0.1,E,,
Ref4,1,14,MYOSSCO,0.1,E,,
Ref4,1,19,MYOSSCO,1,E,,
Ref4,1,20,MYOSSCO,0.1,E,,
Ref4,1,7,PENTSED,0.1,E,,
Ref4,1,12,PENTSED,1,E,,
Ref4,1,7,IRISPSE,4,I,,
Ref4,1,8,IRISPSE,1,I,,
Ref4,1,10,IRISPSE,1,I,,
Ref4,1,1,LYTHSAL,3,I,,
Ref4,1,3,LYTHSAL,3,I,,
Ref4,1,4,LYTHSAL,1,I,,
Ref4,1,5,LYTHSAL,3,I,,
Ref4,1,6,LYTHSAL,1,I,,
Ref4,1,7,LYTHSAL,3,I,,
Ref4,1,10,LYTHSAL,2,I,,
Ref4,1,11,LYTHSAL,1,I,,
Ref4,1,12,LYTHSAL,1,I,,
Ref4,1,13,LYTHSAL,4,I,,
Ref4,1,14,LYTHSAL,1,I,,
Ref4,1,15,LYTHSAL,0.1,I,,
Ref4,1,17,LYTHSAL,3,I,,
Ref4,1,19,LYTHSAL,3,I,,
Ref4,1,20,LYTHSAL,3,I,,
Ref4,1,3,PHALARU,0.1,I,,
Ref4,1,4,PHALARU,39,I,,
Ref4,1,5,PHALARU,2,I,,
Ref4,1,8,PHALARU,72,I,,
Ref4,1,9,PHALARU,100,I,,
Ref4,1,10,PHALARU,92,I,,
Ref4,1,11,PHALARU,68,I,,
Ref4,1,12,PHALARU,40,I,,
Ref4,1,13,PHALARU,66,I,,
Ref4,1,14,PHALARU,12,I,,
Ref4,1,15,PHALARU,1,I,,
Ref4,1,16,PHALARU,98,I,,
Ref4,1,17,PHALARU,88,I,,
Ref4,1,18,PHALARU,39,I,,
Ref4,1,19,PHALARU,1,I,,
Ref4,1,2,BIDECER,0.1,N,,
Ref4,1,7,BIDECER,1,N,,
Ref4,1,11,BIDECER,1,N,,
Ref4,1,1,CAREAQU,86,N,71,
Ref4,1,2,CAREAQU,2,N,62,
Ref4,1,3,CAREAQU,88,N,107,
Ref4,1,5,CAREAQU,65,N,104,
Ref4,1,8,CAREAQU,3,N,144,
Ref4,1,13,CAREAQU,4,N,,
Ref4,1,17,CAREAQU,1,N,130,
Ref4,1,19,CAREAQU,94,N,67,
Ref4,1,20,CAREAQU,36,N,,
Ref4,1,13,CAREUTR,1,N,117,
Ref4,1,15,CAREUTR,0.1,N,68,
Ref4,1,20,CAREUTR,61,N,121,
Ref4,1,2,ELEOPAL,8,N,,
Ref4,1,3,ELEOPAL,0.1,N,,
Ref4,1,6,ELEOPAL,0.1,N,,
Ref4,1,11,ELEOPAL,0.1,N,,
Ref4,1,13,ELEOPAL,0.1,N,,
Ref4,1,17,ELEOPAL,0.1,N,,
Ref4,1,20,ELEOPAL,0.1,N,,
Ref4,1,1,ELEOPAR,0.1,N,,
Ref4,1,2,ELEOPAR,0.1,N,,
Ref4,1,7,ELEOPAR,0.1,N,,
Ref4,1,4,EPILCIL,0.1,N,,
Ref4,1,1,EQUIFLU,0.1,N,,
Ref4,1,2,EQUIFLU,1,N,,
Ref4,1,3,EQUIFLU,1,N,,
Ref4,1,4,EQUIFLU,2,N,,
Ref4,1,5,EQUIFLU,0.1,N,,
Ref4,1,6,EQUIFLU,1,N,,
Ref4,1,10,EQUIFLU,1,N,,
Ref4,1,11,EQUIFLU,0.1,N,,
Ref4,1,12,EQUIFLU,1,N,,
Ref4,1,13,EQUIFLU,0.1,N,,
Ref4,1,14,EQUIFLU,0.1,N,,
Ref4,1,15,EQUIFLU,1,N,,
Ref4,1,16,EQUIFLU,0.1,N,,
Ref4,1,17,EQUIFLU,1,N,,
Ref4,1,19,EQUIFLU,0.1,N,,
Ref4,1,20,EQUIFLU,0.1,N,,
Ref4,1,14,GALITRI,0.1,N,,
Ref4,1,17,GALITRI,0.1,N,,
Ref4,1,20,GALITRI,0.1,N,,
