Site_Number,COMMUNITY,PLOT,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH_CM,COMMENTS
REF-20,1,5,CARELYN,90,N,116,
REF-20,1,5,DISTSPI,5,N,,
REF-20,1,5,AGROSTO,0.1,E,,
REF-20,1,5,LITTER,5,,,
REF-20,1,7,CARELYN,80,N,109,
REF-20,1,7,TRIGMAR,2,N,,
REF-20,1,7,DISTSPI,10,N,,
REF-20,1,7,MUD,7,,,
REF-20,1,7,LITTER,1,,,
REF-20,1,6,PHALARU,100,I,,next to berm
REF-20,1,1,CARELYN,25,N,99,
REF-20,1,1,DISTSPI,74,N,,
REF-20,1,1,TRIGMAR,0.1,N,,
REF-20,1,1,LITTER,1,,,
REF-20,1,19,DISTSPI,90,N,,
REF-20,1,19,CARELYN,9,N,96,
REF-20,1,19,TRIGMAR,1,N,,
REF-20,1,19,ATRIPAT,0.1,U,,
REF-20,1,19,LITTER,0.1,,,
REF-20,1,10,CARELYN,90,N,121,
REF-20,1,10,DISTSPI,5,N,,
REF-20,1,10,MUD,5,,,
REF-20,1,17,PHALARU,50,I,,
REF-20,1,17,CARELYN,10,N,124,
REF-20,1,17,DISTSPI,20,N,,
REF-20,1,17,AGROSTO,0.1,E,,
REF-20,1,17,LITTER,20,,,
REF-20,1,16,CARELYN,99,N,107,
REF-20,1,16,DISTSPI,1,,,
REF-20,1,20,TRIGMAR,1,N,,
REF-20,1,20,ATRIPAT,0.1,U,,
REF-20,1,20,AGROSTO,0.1,E,,
REF-20,1,20,CARELYN,3,N,69,
REF-20,1,20,DISTSPI,95,N,,
REF-20,1,20,MUD,1,,,
REF-20,1,8,TRIGMAR,3,N,,
REF-20,1,8,DISTSPI,90,N,,
REF-20,1,8,ATRIPAT,1,U,,
REF-20,1,8,CARELYN,0.1,N,,
REF-20,1,8,MUD,6,,,
REF-20,1,2,CARELYN,83,N,114,
REF-20,1,2,AGROSTO,15,E,,
REF-20,1,2,DISTSPI,2,N,,
REF-20,1,14,DISTSPI,20,N,,
REF-20,1,14,JUNCBAL,0.1,N,,
REF-20,1,14,AGROSTO,80,E,,
REF-20,1,14,CARELYN,0.1,N,68,
REF-20,1,15,DISTSPI,99,N,,
REF-20,1,15,ATRIPAT,1,U,,
REF-20,1,18,PHALARU,99,I,,
REF-20,1,18,LEYMMOL,0.1,N,,
REF-20,1,18,SONCARV,1,E,,
REF-20,1,18,ELYMREP,0.1,E,,
REF-20,1,18,VICEGIG,0.1,E,,
REF-20,1,9,CARELYN,55,N,74,
REF-20,1,9,SYMPSUB,55,N,,
REF-20,1,9,ELYMREP,1,E,,
REF-20,1,9,AGROSTO,28,E,,
REF-20,1,9,MUD,5,,,
REF-20,1,13,ELYMREP,20,E,,
REF-20,1,13,SYMPSUB,5,N,,
REF-20,1,13,ACHIMIL,2,N,,
REF-20,1,13,PHALARU,20,I,,
REF-20,1,13,ATRIPAT,1,U,,
REF-20,1,13,SONCHARV,1,E,,
REF-20,1,13,POLYAVI,0.1,E,,
REF-20,1,13,AGROSTO,51,E,,
REF-20,1,4,CARELYN,2,N,89,
REF-20,1,4,ATRIPAT,2,U,,
REF-20,1,4,TRIGMAR,1,N,,
REF-20,1,4,AGROSTO,15,E,,
REF-20,1,4,JUNCGER,80,E,,
REF-20,1,3,TRIGMAR,4,N,,
REF-20,1,3,SYMPSUB,3,N,,
REF-20,1,3,AGROSTO,93,E,,
REF-20,1,3,JUNCBAL,0.1,N,,
REF-20,1,12,DISTSPI,98,N,,
REF-20,1,12,AGROSTO,2,E,,
REF-20,1,11,PHALARU,99,I,,
REF-20,1,11,VICEGIG,1,E,,
