Site_Number,COMMUNITY,PLOT,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH_CM,COMMENTS
Ref-17,1,2,CARELYN,90,N,132,
Ref-17,1,2,MUD,10,N,,
Ref-17,1,17,CARELYN,90,N,163,
Ref-17,1,17,SCHOTAB,0.1,N,,
Ref-17,1,17,MUD,10,N,,
Ref-17,1,5,JUNCBAL,20,N,,
Ref-17,1,5,POTEANS,5,N,,
Ref-17,1,5,LYTHSAL,3,I,,
Ref-17,1,5,TYPHLAT,2,N,,
Ref-17,1,5,LITTER,35,N,,
Ref-17,1,5,MUD,35,N,,
Ref-17,1,12,JUNCBAL,5,N,,
Ref-17,1,12,CARELYN,50,N,142,
Ref-17,1,12,POTEANS,1,N,,
Ref-17,1,12,LITTER,0.1,N,,
Ref-17,1,12,MUD,44,N,,
Ref-17,1,20,POTEANS,13,N,,
Ref-17,1,20,JUNCBAL,85,N,,
Ref-17,1,20,SIUMSUA,0.1,N,,
Ref-17,1,20,LITTER,0.1,N,,
Ref-17,1,20,MUD,5,N,,
Ref-17,1,10,CARELYN,55,N,146,
Ref-17,1,10,JUNCBAL,25,N,,
Ref-17,1,10,ELEOPAL,1,N,,
Ref-17,1,10,MUD,19,N,,
Ref-17,1,3,TYPHANG,15,I,,
Ref-17,1,3,SCHOTAB,0.1,N,,
Ref-17,1,3,CARELYN,50,N,160,
Ref-17,1,3,WOOD,15,N,,
Ref-17,1,3,MUD,20,N,,
Ref-17,1,7,JUNCBAL,60,N,,
Ref-17,1,7,CARELYN,10,N,109,
Ref-17,1,7,POTEANS,10,N,,
Ref-17,1,7,MUD,20,N,,
Ref-17,1,7,LITTER,1,N,,
Ref-17,1,15,TYPHLAT,10,N,,
Ref-17,1,15,CARELYN,35,N,129,
Ref-17,1,15,JUNCBAL,1,N,,
Ref-17,1,15,LITTER,20,N,,
Ref-17,1,15,WOOD,7,N,,
Ref-17,1,15,MUD,27,N,,
Ref-17,1,15,CALLSTA,0.1,E,,
Ref-17,1,15,LYTHSAL,0.1,I,,
Ref-17,1,18,CALYSEP,4,N,,
Ref-17,1,18,PHALARUN,4,N,,
Ref-17,1,18,WOOD,35,N,,
Ref-17,1,18,LITTER,45,N,,
Ref-17,1,18,LATHPAL,0.1,N,,
Ref-17,1,18,SOLICAN,12,N,,
Ref-17,1,11,PHALARUN,2,N,,outside of marsh next to big willow
Ref-17,1,11,SOLICAN,40,N,,
Ref-17,1,11,LATHPAL,0.1,N,,
Ref-17,1,11,CIRSARV,1,E,,
Ref-17,1,11,CALYSEP,3,N,,
Ref-17,1,11,EQUIFLU,0.1,N,,
Ref-17,1,11,LITTER,54,N,,
Ref-17,1,6,IRISPSE,2,I,,outside of marsh next to big willow
Ref-17,1,6,LATHPAL,0.1,N,,
Ref-17,1,6,PHALARUN,30,N,,
Ref-17,1,6,CALYSEP,17,N,,
Ref-17,1,6,SOLICAN,10,N,,
Ref-17,1,6,CIRSARV,3,E,,
Ref-17,1,6,EQUIFLU,0.1,N,,
Ref-17,1,6,LITTER,24,N,,
Ref-17,1,6,WOOD,4,N,,
Ref-17,1,6,LOTUS Sp.,0.1,N,,Birds foot trefoil
Ref-17,1,4,PHALARUN,5,N,,outside of marsh in log debris area
Ref-17,1,4,IRISPSE,4,I,,
Ref-17,1,4,EQUIFLU,0.1,N,,
Ref-17,1,4,WOOD,46,N,,
Ref-17,1,4,LITTER,45,N,,
Ref-17,1,4,CALYSEP,0.1,N,,
Ref-17,1,4,TYPHANG,0.1,I,,
Ref-17,1,16,EQUIFLU,20,N,,
Ref-17,1,16,POTEANS,12,N,,
Ref-17,1,16,PHALARUN,10,N,,
Ref-17,1,16,TYPHANG,6,I,,
Ref-17,1,16,CALLSTA,0.1,E,,
Ref-17,1,16,LITTER,5,N,,
Ref-17,1,16,MUD,46,N,,
Ref-17,1,8,RUMESAL,2,N,,plot in log debris area
Ref-17,1,8,TYPHANG,0.1,I,,
Ref-17,1,8,WOOD,1,N,,
Ref-17,1,8,LITTER,97,N,,
Ref-17,1,13,CARELYN,55,N,,
Ref-17,1,13,ELEOPAL,15,N,,
Ref-17,1,13,POTEANS,0.1,N,,
Ref-17,1,13,SIUMSUA,0.1,N,,
Ref-17,1,13,MUD,30,N,,
Ref-17,1,1,SCHOTAB,1,N,,
Ref-17,1,1,CARELYN,90,N,170,
Ref-17,1,1,MUD,9,N,,
Ref-17,1,9,JUNCBAL,95,N,,
Ref-17,1,9,POTEANS,7,N,,
Ref-17,1,9,LYTHSAL,0.1,I,,
Ref-17,1,9,MUD,5,N,,
