"","PC_mean","PC_sd"
"beaked sedge",0.166666666666667,0.912870929175277
"blue water speedwell",0.0166666666666667,0.0912870929175277
"bog loosestrife",0.233333333333333,1.10432795395438
"broad-leaved arrowhead",0.733333333333333,2.86396558124826
"colonial bentgrass",4.00333333333333,7.37939738373849
"common cattail",8.93333333333333,15.913415146008
"common plantain",0.0166666666666667,0.0912870929175277
"common rush",1.46666666666667,6.78097405948454
"common silverweed",1.53333333333333,2.38867057721168
"common spike-rush",1.53333333333333,3.69979806842569
"Douglas' aster ",0.233333333333333,0.568320777155935
"emersed bur-reed",1.06666666666667,3.79594459947703
"European forget-me-not ",5.6,8.99942526900545
"horehound",1.6,3.86496197063862
"jointed rush",0.433333333333333,1.07264845715811
"lesser spearwort",0.1,0.380562197553694
"Lyngbye's sedge ",23.6666666666667,31.8372297067804
"nodding beggarticks",1.51666666666667,5.213515812428
"pigmyweed",0.483333333333333,1.82644998295324
"pointed rush",0.333333333333333,0.791477593876918
"pond water-starwort",0.15,0.418330013267038
"purple-leaved willowherb",0.166666666666667,0.442043322368492
"purple loosestrife",2.33333333333333,3.43745428391753
"reed canarygrass",17.0666666666667,28.9969479170782
"shining willow",0.1,0.547722557505166
"slender rush",0.0666666666666667,0.365148371670111
"slough sedge",1,5.47722557505166
"small-flowered bulrush",1.56666666666667,6.03257441089528
"small bedstraw",1.18333333333333,2.26853793616419
"small spike-rush",0.0166666666666667,0.0912870929175277
"soft-stemmed bulrush",0.0166666666666667,0.0912870929175277
"spotted touch-me-not",0.666666666666667,1.51619608715781
"spreading rush",1.95,7.3956534298987
"springbank clover",0.683333333333333,3.64947642284747
"swamp horsetail",0.833333333333333,1.30868012828228
"Ussurian water-milfoil",0.9,4.55502753691665
"water-parsnip",0.0166666666666667,0.0912870929175277
"water-plantain",0.4,1.49366478259301
"water mudwort",0.0333333333333333,0.126854065851231
"western dock",0.0333333333333333,0.182574185835055
"western lilaeopsis",0.616666666666667,1.08025646167403
"yellow iris",0.15,0.511084040595795
"yellow marsh marigold",0.0333333333333333,0.182574185835055
"yellow monkey-flower",0.166666666666667,0.647719252365604
