"","x"
"1","Lyngbye's sedge"
"2","common spike-rush"
"3","western lilaeopsis"
"4","purplestem beggarticks"
"5","willow weed"
"6","pond water-starwort"
"7","water-plantain"
"8","common dandelion"
"9","purple-leaved willowherb"
"10","Pacific water-parsley"
"11","Baltic rush "
"12","purple loosestrife"
"13","common horsetail"
"14","common sow thistle"
"15","creeping bentgrass"
"16","Mustard"
"17","coast silverweed"
"18","yellow iris"
"19","horehound"
"20","reed canarygrass"
"21","clustered dock"
"22","hairy cat's ear"
"23","ribwort plantain"
"24","springbank clover"
"25","common watercress"
