"","x"
"1","reed canarygrass"
"2","Douglas' aster"
"3","Lynbye's sedge"
"4","western lilaeopsis"
"5","European forget-me-not "
"6","nodding beggarticks"
"7","water-plantain"
"8","purple loosestrife"
"9","common spike-rush"
"10","common cattail"
"11","swamp horsetail"
"12","colonial bentgrass"
"13","water mudwort"
"14","Ussurian water-milfoil "
"15","pigmyweed"
"16","soft-stemmed bulrush"
"17","Canadian waterweed"
"18","pond-water starwort"
"19","Baltic rush "
"20","small-flowered bulrush"
"21","spreading rush"
"22","purple-leaved willowherb"
"23","low clubrush"
"24","narrow-leaved bur-reed"
"25","giant mannagrass"
"26","persicaria"
"27","broad-leaved arrowhead"
"28","lesser cattail"
"29","horehound"
"30","small bedstraw"
"31","yellow iris"
"32","ground"
"33","water-parsnip"
