"","x"
"1","jointed rush"
"2","common spike-rush"
"3","Lyngbye's sedge"
"4","soft-stemmed bulrush"
"5","common dandelion"
"6","Douglas' aster"
"7","small bedstraw"
"8","purple loosestrife"
"9","wild carrot"
"10","tall fescue"
"11","yellow monkey-flower"
"12","western lilaeopsis"
"13","purple-leaved willowherb"
"14","European bittersweet"
"15","traveler's joy"
"16","common chickweed"
"17","perennial ryegrass"
"18","creeping bentgrass"
"19","reed canarygrass"
"20","Baltic rush"
"21","willow weed"
"22","red clover"
"23","marsh yellow cress"
"24","common plantain"
"25","western dock"
"26","rice cutgrass"
"27","little western bitter-cress"
"28","common horsetail"
"29","horehound"
"30","European forget-me-not"
