"","PC_mean","PC_sd"
"awl-fruited sedge",0.0384615384615385,0.138675049056307
"birds-foot trefoil",0.653846153846154,0.851092811836038
"blue water speedwell",0.0769230769230769,0.277350098112615
"common dandelion",0.0384615384615385,0.138675049056307
"common plantain",0.0769230769230769,0.277350098112615
"common rush",0.461538461538462,0.877058019307029
"common sow-thistle",0.384615384615385,1.38675049056307
"creeping buttercup",0.0384615384615385,0.138675049056307
"exotic turf grasses",28.5,31.3554886210798
"Himalayan blackberry ",0.230769230769231,0.832050294337844
"mannagrass",0.153846153846154,0.554700196225229
"orchard-grass",1.30769230769231,4.71495166791445
"purple-leaved willowherb",0.5,1.38443731048635
"purple loosestrife",0.807692307692308,1.34688624764772
"reed canarygrass",22.1538461538462,23.3482553018641
"ribwort plantain",1.69230769230769,3.19855736712181
"slender rush",0.769230769230769,1.48064435037847
"slough sedge",4.03846153846154,8.38764353692765
"swamp horsetail",0.0769230769230769,0.277350098112615
"tufted vetch",0.384615384615385,0.740322175189237
"white clover",3.76923076923077,8.87086848579708
