"","PC_mean","PC_sd"
"Baltic rush",42.5714285714286,42.9490284828312
"bird's-foot trefoil",3,5.59761854124889
"colonial bentgrass",0.428571428571429,0.786795792469443
"common horsetail",0.0714285714285714,0.188982236504614
"common plantain",0.142857142857143,0.377964473009227
"common silverweed ",11.7142857142857,7.319250547114
"common spike-rush",3.14285714285714,7.47057720725272
"creeping bentgrass",1.14285714285714,3.02371578407382
"Douglas' aster",3.71428571428571,3.03942350423485
"Douglas's water-hemlock",0.285714285714286,0.755928946018454
"European forget-me-not",2.64285714285714,2.92566638725672
"field mint",0.142857142857143,0.377964473009227
"horehound",11.8571428571429,6.64400911670485
"jointed rush",5.57142857142857,7.48013241543096
"Lyngbye's sedge",20.7142857142857,27.9923458926084
"pigmyweed",0.0714285714285714,0.188982236504614
"purple-leaved willowherb",1,1.91485421551268
"purple loosestrife",6.14285714285714,9.52940311926848
"reed canarygrass",4.14285714285714,5.61036455822529
"ribwort plantain",0.142857142857143,0.377964473009227
"small bedstraw",0.714285714285714,0.393397896234722
"western lilaeopsis",0.5,0.763762615825973
"western St. John's-wort",0.142857142857143,0.377964473009227
"yellow iris",1,2.64575131106459
"yellow monkey-flower",0.642857142857143,0.475594865605671
