"","PC_mean","PC_sd"
"Baltic rush ",0.152173913043478,0.629479991174094
"birds-foot trefoil ",0.478260869565217,2.08609171805232
"blue skullcap",0.0869565217391304,0.41702882811415
"blue water speedwell",0.0217391304347826,0.104257207028537
"bog loosestrife",0.0434782608695652,0.208514414057075
"colonial bentgrass",7.73913043478261,16.7202038681143
"common cattail",0.217391304347826,1.04257207028537
"common horsetail",0.130434782608696,0.309596192437087
"common plantain",0.0217391304347826,0.104257207028537
"common silverweed",0.0434782608695652,0.208514414057075
"common spike-rush",1.58695652173913,7.28736792163648
"Douglas' aster ",0.0869565217391304,0.41702882811415
"European forget-me-not ",14.304347826087,28.1411778241079
"field mint",0.434782608695652,1.56164502300158
"Himalayan blackberry ",2.80434782608696,9.05882183092409
"horehound",2.28260869565217,5.88299955757829
"jointed rush",0.91304347826087,4.37880269519857
"little western bitter-cress",0.152173913043478,0.463062498449568
"Lyngbye's sedge",4.26086956521739,16.4488667509742
"marsh yellow cress",0.108695652173913,0.259217429756041
"moss",5.11739130434783,16.6920953577084
"nodding beggarticks",0.0869565217391304,0.41702882811415
"Pacific water-parsley",0.434782608695652,2.08514414057075
"perennial ryegrass",0.0434782608695652,0.208514414057075
"persicaria",0.478260869565217,0.845822096993715
"pointed rush",0.956521739130435,4.3742870678293
"purple-leaved willowherb",0.108695652173913,0.299868218750505
"purple loosestrife",1.80434782608696,3.66723555294591
"reed canarygrass",13.6521739130435,16.4333604587856
"rice cutgrass",0.217391304347826,1.04257207028537
"self-heal",0.0434782608695652,0.208514414057075
"slough sedge",6.43478260869565,17.3829228815277
"small bedstraw",0.5,0.811844140885989
"spotted touch-me-not ",1.86086956521739,3.61181635625406
"spreading rush",2.19565217391304,7.16484335049652
"swamp horsetail",0.0434782608695652,0.208514414057075
"three-parted beggarticks",0.0869565217391304,0.28810406552003
"water-plantain",0.0869565217391304,0.41702882811415
"western dock",0.0869565217391304,0.41702882811415
"western lilaeopsis",0.521739130434783,1.70212608275093
"western St. John's-wort",1.76086956521739,4.72149236138078
"willow",0.869565217391304,4.1702882811415
"yellow iris",3.56521739130435,6.31431337198937
"yellow monkey-flower",0.0869565217391304,0.28810406552003
