"","PC_mean","PC_sd"
"Baltic rush ",58.8,33.7632278604335
"clustered dock",0.2,0.632455532033676
"coast silverweed",5.8,8.02496105909555
"common dandelion",0.2,0.34960294939005
"common horsetail",0.4,0.966091783079296
"common sow thistle",0.2,0.632455532033676
"common spike-rush",1.5,2.32139804619735
"common watercress",0.01,0.0316227766016838
"creeping bentgrass",1.8,2.78088714861523
"hairy cat's ear",0.1,0.316227766016838
"horehound",2.25,6.25055553086639
"Lyngbye's sedge",32.6,32.731907640371
"Mustard",0.1,0.316227766016838
"Pacific water-parsley",0.1,0.316227766016838
"pond water-starwort",0.25,0.263523138347365
"purple-leaved willowherb",0.6,0.966091783079296
"purple loosestrife",0.8,0.918936583472681
"purplestem beggarticks",0.1,0.316227766016838
"reed canarygrass",0.4,1.26491106406735
"ribwort plantain",0.3,0.948683298050514
"springbank clover",0.1,0.316227766016838
"Vancouver Island beggarticks ",0.2,0.34960294939005
"water-plantain",0.3,0.674948557710553
"western lilaeopsis",0.85,1.10679718105893
"willow weed",2.7,3.8020462326957
"yellow iris",0.4,1.26491106406735
