"","x"
"1","swamp horsetail"
"2","purple loosestrife"
"3","water mint"
"4","European forget-me-not"
"5","Lyngbye's sedge"
"6","small bedstraw"
"7","Douglas' aster"
"8","rough bluegrass"
"9","horehound"
"10","small-flowered bulrush"
"11","water-plantain"
"12","nodding beggarticks"
"13","Pacific water-parsley "
"14","creeping bentgrass"
"15","common spike-rush"
"16","yellow monkey-flower"
"17","jointed rush"
"18","Baltic rush"
"19","reed canarygrass"
"20","purple-leaved willowherb"
"21","Nootka rose"
"22","common silverweed"
"23","Pacific water-parsley"
"24","water-parsnip"
"25","redtop"
"26","bog loosestrife"
"27","Lyngby's sedge"
"28","western lilaeopsis"
"29","springbank clover"
"30","European forget-me-not "
"31","yellow iris"
"32","water-parsnip "
"33","soft-stemmed bulrush"
