"","PC_mean","PC_sd"
"American bulrush",5,8.66025403784439
"Baltic rush",0.333333333333333,0.577350269189626
"clustered dock",0.333333333333333,0.577350269189626
"coast silverweed",0.333333333333333,0.577350269189626
"colonial bentgrass",2,2.64575131106459
"flowering quillwort",0.166666666666667,0.288675134594813
"horehound",1.33333333333333,2.3094010767585
"Lynbye's sedge",77,28.1602556806574
"pigmyweed",0.166666666666667,0.288675134594813
"pond-water starwort",0.833333333333333,0.288675134594813
"small spike-rush",0.166666666666667,0.288675134594813
"water mudwort",0.166666666666667,0.288675134594813
