"","PC_mean","PC_sd"
"Baltic rush ",0.666666666666667,1.3228756555323
"broad-leaved arrowhead",4.66666666666667,11.6081867662439
"clustered dock",0.333333333333333,0.5
"coast silverweed",0.777777777777778,1.71593835683117
"colonial bentgrass",6.44444444444444,6.98410894658565
"common silverweed",0.0555555555555556,0.166666666666667
"common spike-rush",1.22222222222222,1.92209376577847
"Douglas' aster",0.222222222222222,0.666666666666667
"European forget-me-not",1.22222222222222,2.4381231397213
"European forget-me-not ",6.94444444444444,13.7850563211681
"horehound",1.77777777777778,3.34580998331412
"Lyngbye's sedge",44.8888888888889,36.5220633468471
"marshpepper smartweed",0.666666666666667,1
"nodding beggarticks",1.11111111111111,1.05409255338946
"Pacific water-parsley",0.333333333333333,1
"pointed rush",1.33333333333333,2.69258240356725
"purple-leaved willowherb",1.33333333333333,1.58113883008419
"purple loosestrife",1.88888888888889,4.13655788199695
"reed canarygrass",11.6666666666667,20.4389334359697
"rice cutgrass",0.444444444444444,1.0137937550497
"slough sedge",10,30
"small-flowered bulrush",0.222222222222222,0.666666666666667
"small bedstraw",8.55555555555556,17.0961334160031
"soft-stemmed bulrush ",0.444444444444444,1.33333333333333
"spotted touch-me-not",1.94444444444444,3.22533374672727
"spreading rush",7.27777777777778,14.9939802735779
"stalked birds-foot trefoil",0.666666666666667,2
"swamp horsetail",1,1.5
"water-parsnip",0.5,1
"water-plantain",0.611111111111111,1.11180533867719
"water mint",1.44444444444444,3.97212509593766
"western lilaeopsis",0.222222222222222,0.440958551844098
"yellow iris",2,2.64575131106459
"yellow marsh-marigold",0.555555555555556,1.66666666666667
