"","PC_mean","PC_sd"
"Baltic rush",7.53333333333333,16.2738469710789
"Bare ground ",0.8,1.69873902813654
"Bare ground from above ",9.06666666666667,14.7234830247789
"bog loosestrife",0.333333333333333,1.29099444873581
"common silverweed",0.866666666666667,1.92230020944651
"common spike-rush",0.6,1.44172515708488
"creeping bentgrass",4.43333333333333,10.417818983883
"Douglas' aster",1.06666666666667,2.12019765475724
"European forget-me-not",2.53333333333333,4.01544636669568
"European forget-me-not ",0.366666666666667,1.28822506167355
"horehound",4.4,6.17367683915231
"jointed rush",0.966666666666667,1.77750493938099
"Lyngby's sedge",1.33333333333333,5.16397779494322
"Lyngbye's sedge",34.7666666666667,30.1335519376816
"nodding beggarticks",0.566666666666667,1.59089672227721
"Nootka rose",0.266666666666667,1.03279555898864
"Pacific water-parsley",0.0666666666666667,0.258198889747161
"Pacific water-parsley ",0.733333333333333,1.48644670591441
"pointed rush",0.0666666666666667,0.258198889747161
"purple-leaved willowherb",0.133333333333333,0.351865775274498
"purple loosestrife",8.06666666666667,8.9479979138725
"redtop",0.0666666666666667,0.258198889747161
"reed canarygrass",0.933333333333333,1.90737915425729
"rough bluegrass",0.6,1.84390889145858
"small-flowered bulrush",0.666666666666667,1.67616341969505
"small bedstraw",2.96666666666667,5.37343554197959
"soft-stemmed bulrush",2,6.49175301000101
"springbank clover",0.466666666666667,1.35576371027375
"swamp horsetail",10.5,9.60468635614927
"water-parsnip",0.0666666666666667,0.258198889747161
"water-parsnip ",0.0666666666666667,0.258198889747161
"water-plantain",0.233333333333333,0.776132045711909
"water mint",6.86666666666667,10.6225277235739
"western lilaeopsis",0.1,0.280305955290694
"yellow iris",0.266666666666667,1.03279555898864
"yellow monkey-flower",0.566666666666667,0.883715101688537
