"","x"
"1","Himalayan blackberry "
"2","coast silverweed"
"3","common cattail"
"4","Canada thistle "
"5","lesser cattail"
"6","reed canarygrass"
"7","purple loosestrife"
"8","purple-leaved willowherb"
"9","Lyngbye's sedge "
"10","common horsetail"
"11","horehound"
"12","small-flowered bulrush"
"13","Baltic rush "
"14","western lilaeopsis"
"15","western dock"
"16","colonial bentgrass "
"17","common rush"
"18","rice cutgrass"
"19","spreading rush"
"20","common spike-rush"
"21","pond water-starwort"
"22","pigmyweed"
"23","water-plantain"
"24","persicaria"
"25","soft-stemmed bulrush"
"26","water-parsnip"
"27","swamp horsetail"
