"","x"
"1","reed canarygrass"
"2","birds-foot trefoil"
"3","bog loosestrife"
"4","horehound"
"5","slender rush"
"6","jointed rush"
"7","three-parted beggarticks"
"8","common dandelion"
"9","European forget-me-not "
"10","slough sedge"
"11","small bedstraw"
"12","creeping bentgrass"
"13","moss"
"14","nodding beggarticks"
"15","common spike-rush"
"16","pigmyweed"
"17","marshpepper smartweed"
"18","European water-purslane"
"19","pointed broom sedge"
"20","Douglas' aster"
"21","common horsetail"
"22","common rush"
"23","wool-rush"
"24","western dock"
"25","purple loosestrife"
"26","Baltic rush "
"27","Bolander's rush"
"28","western fescue"
"29","western St. John's-wort"
"30","Asian knotweed"
"31","water mudwort"
"32","water-parsnip"
"33","water-plantain"
"34","western lilaeopsis"
"35","lesser spearwort"
"36","Pacific water-parsley"
"37","little western bitter-cress"
"38","bractless hedge-hyssop"
"39","pond water-starwort"
"40","marsh yellow cress"
"41","narrow-leaved bur-reed"
"42","shining willow"
"43","fine fescue"
"44","common plantain"
"45","soft-stemmed bulrush"
"46","colonial bentgrass"
"47","yellow iris"
"48","red clover"
"49","rice cutgrass"
"50","blue water speedwell"
"51","field mint"
"52","self-heal"
"53","spreading rush"
"54","inflated sedge"
"55","broad-leaved arrowhead"
