"","PC_mean","PC_sd"
"American speedwell",0.35,0.668746754924629
"Asian knotweed",0.4,0.843274042711568
"Asian knotweed ",0.4,1.26491106406735
"Baltic rush",6.7,15.1294414966317
"Baltic rush ",16.3,26.4409194662784
"Bare ground ",8,25.298221281347
"common dandelion",0.05,0.158113883008419
"common horsetail",0.7,2.21359436211787
"common horsetail ",0.05,0.158113883008419
"common plantain",0.4,1.26491106406735
"common plantain ",0.35,0.668746754924629
"common rush",1.7,5.37587202228625
"common silverweed ",0.1,0.316227766016838
"common spike-rush",0.05,0.158113883008419
"creeping bentgrass",0.1,0.316227766016838
"creeping buttercup",0.1,0.316227766016838
"European hawkweed",0.7,1.15950180872841
"fine fescue",0.5,1.58113883008419
"Himalayan blackberry ",0.05,0.158113883008419
"Kentucky bluegrass ",0.2,0.421637021355784
"large-leaved avens",1,3.16227766016838
"Lyngbye's sedge ",0.6,1.57762127549323
"marshpepper smartweed",2.2,1.73525534464272
"northern starwort",0.1,0.316227766016838
"pigmyweed",0.05,0.158113883008419
"pond water-starwort",0.05,0.158113883008419
"purple-leaved willowherb",2.1,2.92308816911917
"purple loosestrife",0.1,0.316227766016838
"red clover",0.3,0.948683298050514
"reed canarygrass",1,3.16227766016838
"tapered rush",0.05,0.158113883008419
"water-purslane",0.1,0.316227766016838
"water-purslane ",0.4,0.699205898780101
"water mudwort",0.05,0.158113883008419
"white sweet-clover",0.1,0.316227766016838
"wool-grass",1.2,3.79473319220206
