"","PC_mean","PC_sd"
"Baltic rush",2,5.35412613473634
"Bare ground ",0,0
"coast silverweed",0.4,1.26491106406735
"common beggarticks ",0.1,0.316227766016838
"common spike-rush",1.75,2.32438761349689
"creeping bentgrass",30.5,29.6432491846326
"horehound",1.2,3.15524255098646
"jointed rush",0.1,0.316227766016838
"Lyngbye's sedge",52.3,20.6131026291531
"marshpepper smartweed",2.2,1.68654808542314
"nodding beggarticks",1.1,0.994428926011753
"pigmyweed",0.15,0.337474278855276
"pond water-starwort",0.25,0.424918292799399
"purple-leaved willowherb",0.5,0.52704627669473
"purple loosestrife",4.7,5.18652099195598
"small bedstraw",0.15,0.337474278855276
"soft-stemmed bulrush",1.9,2.7264140062238
"swamp horsetail",1.9,2.68535120814971
"water-parsnip ",0.2,0.632455532033676
"water-plantain",0.55,0.685160159703149
"water mudwort",0.35,0.474341649025257
"western lilaeopsis",1.75,2.67965586513559
"yellow monkey-flower",1.9,2.55821118057999
