"","PC_mean","PC_sd"
"Asian knotweed",0.108695652173913,0.259217429756041
"Baltic rush ",0.282608695652174,0.863740372351576
"birds-foot trefoil",10.6521739130435,19.2462716475689
"blue water speedwell",0.0217391304347826,0.104257207028537
"bog loosestrife",0.652173913043478,1.02729546303848
"Bolander's rush",0.0869565217391304,0.41702882811415
"bractless hedge-hyssop",0.0434782608695652,0.144052032760015
"broad-leaved arrowhead",0.173913043478261,0.834057656228299
"colonial bentgrass",0.521739130434783,1.75472259442888
"common dandelion",0.0217391304347826,0.104257207028537
"common horsetail",0.0869565217391304,0.28810406552003
"common plantain",0.0434782608695652,0.208514414057075
"common rush",0.304347826086957,0.764840007553312
"common spike-rush",2.5,11.4524709521173
"creeping bentgrass",0.934782608695652,1.72089001699495
"Douglas' aster",0.195652173913043,0.835832878505335
"European forget-me-not ",2.23913043478261,5.26538776353606
"European water-purslane",0.0869565217391304,0.245513095051765
"field mint",0.0869565217391304,0.41702882811415
"fine fescue",0.108695652173913,0.299868218750505
"flowering quillwort",0.152173913043478,0.629479991174094
"horehound",0.0869565217391304,0.41702882811415
"inflated sedge",0.304347826086957,1.45960089839952
"jointed rush",3.58695652173913,9.94605012271094
"lesser spearwort",0.108695652173913,0.425241154553145
"little western bitter-cress",0.0434782608695652,0.144052032760015
"marsh yellow cress",0.0434782608695652,0.208514414057075
"marshpepper smartweed",0.956521739130435,3.10758984174326
"moss",1.43478260869565,4.86944169803817
"narrow-leaved bur-reed",0.0217391304347826,0.104257207028537
"nodding beggarticks",0.717391304347826,1.62945952386702
"Pacific water-parsley",1.69565217391304,7.70734468253081
"pigmyweed",0.521739130434783,0.832278647470649
"pointed broom sedge",0.58695652173913,1.52741741268364
"pointed rush",0.391304347826087,0.825124257021748
"pond water-starwort",0.108695652173913,0.299868218750505
"purple loosestrife",0.847826086956522,1.36043761850149
"red clover",0.0434782608695652,0.208514414057075
"reed canarygrass",15.3478260869565,15.2034945015706
"rice cutgrass",0.652173913043478,3.12771621085612
"self-heal",0.173913043478261,0.834057656228299
"shining willow",0.565217391304348,1.92651562427946
"slender rush",0.173913043478261,0.650326764931116
"slough sedge",12.8695652173913,22.2083202013571
"small bedstraw",0.282608695652174,0.496031683292549
"small spike-rush",0.260869565217391,0.497026732804715
"soft-stemmed bulrush",0.130434782608696,0.625543242171224
"spreading rush",0.0434782608695652,0.208514414057075
"three-parted beggarticks",0.608695652173913,1.1073773453436
"water-parsnip",0.217391304347826,0.671262158456362
"water-plantain",0.130434782608696,0.344350221575091
"water mudwort",0.130434782608696,0.270411777931858
"western dock",0.521739130434783,1.3097385310675
"western fescue",0.478260869565217,1.87978638093393
"western lilaeopsis",1.02173913043478,4.79222443336733
"western St. John's-wort",0.0869565217391304,0.245513095051765
"wool-rush",0.130434782608696,0.625543242171224
"yellow iris",0.391304347826087,1.499670583064
