"","PC_mean","PC_sd"
"Baltic rush ",2.5,11.1803398874989
"broad-leaved arrowhead",0.25,0.910465468000326
"colonial bentgrass",13,15.0892084128464
"common spike-rush",0.575,1.69577648725793
"field mint",0.2,0.894427190999916
"horehound",0.25,1.11803398874989
"Lyngbye's sedge ",51.4,36.4682991391875
"nodding beggarticks",0.35,1.56524758424985
"pointed rush",0.4,1.35335839575791
"pond-water starwort",0.05,0.153896752812773
"purple-leaved willowherb",0.05,0.153896752812773
"purple loosestrife",2.725,6.73458278315427
"reed canarygrass",13.1,25.975494524445
"rice cutgrass",0.5,1.43270079882276
"small-flowered bulrush",0.1,0.447213595499958
"soft-stemmed bulrush ",4.9,9.45293048407964
"swamp horsetail",0.05,0.223606797749979
"water-plantain",0.825,2.90768039219545
"western lilaeopsis",0.09,0.226878126337746
