"","x"
"1","common cattail"
"2","small-flowered bulrush"
"3","reed canarygrass"
"4","purple loosestrife"
"5","yellow iris"
"6","Lyngbye's sedge"
"7","marsh yellow cress"
"8","water-plantain"
"9","swamp horsetail"
"10","common spike-rush"
"11","pond water-starwort"
"12","broad-leaved arrowhead"
"13","Canada thistle "
"14","willow weed"
"15","soft-stemmed bulrush"
"16","colonial bentgrass"
"17","water-parsnip"
"18","Pacific water-parsley"
"19","coast silverweed"
