"","PC_mean","PC_sd"
"broad-leaved arrowhead",0.0166666666666667,0.0912870929175277
"Canada thistle ",0.166666666666667,0.912870929175277
"coast silverweed",0.0666666666666667,0.365148371670111
"colonial bentgrass",1.51666666666667,6.00069440426134
"common cattail",34.1666666666667,25.0944194006849
"common spike-rush",1.88333333333333,5.99235624219166
"Lyngbye's sedge",18.5666666666667,27.7807714861884
"marsh yellow cress",0.0166666666666667,0.0912870929175277
"Pacific water-parsley",0.0333333333333333,0.182574185835055
"pond water-starwort",0.0666666666666667,0.17287295182088
"purple loosestrife",0.283333333333333,1.04784946712165
"reed canarygrass",3.75,14.9969824551014
"small-flowered bulrush",5.83333333333333,17.023479390968
"soft-stemmed bulrush",0.233333333333333,0.678910553924363
"swamp horsetail",1.38333333333333,3.30016544343204
"water-parsnip",0.133333333333333,0.507416263404925
"water-plantain",0.983333333333333,1.94972736084028
"willow weed",0.1,0.547722557505166
"yellow iris",0.666666666666667,3.13306430735518
