"","x"
"1","water-plantain "
"2","soft-stemmed bulrush"
"3","creeping bentgrass"
"4","Lyngbye's sedge "
"5","broad-leaved arrowhead"
"6","common cattail"
"7","swamp horsetail"
"8","horehound"
"9","purple loosestrife"
"10","rice cutgrass"
"11","common spike-rush"
"12","water mudwort"
"13","jointed rush"
"14","pond water-starwort"
"15","Baltic rush "
"16","coast silverweed"
"17","western lilaeopsis"
"18","purple-leaved willowherb"
"19","Douglas' aster"
"20","water-parsnip"
"21","reed canarygrass"
"22","yellow iris"
"23","small-flowered bulrush "
"24","Canada thistle "
"25","common dandelion"
"26","common horsetail"
"27","springbank clover"
"28","small-flowered bulrush"
"29","nodding beggarticks"
