"","x"
"1","Baltic rush "
"2","reed canarygrass"
"3","Douglas' aster"
"4","coast silverweed"
"5","birds-foot trefoil"
"6","tufted vetch"
"7","purple loosestrife"
"8","common horsetail"
"9","Canada thistle "
"10","American bulrush "
"11","horehound"
"12","Lyngbye's sedge "
"13","colonial bentgrass "
"14","prickly lettuce"
"15","tall fescue"
"16","bractless hedge-hyssop"
"17","western lilaeopsis"
"18","pigmyweed"
"19","low clubrush"
"20","Himalayan blackberry "
"21","rice cutgrass"
"22","common spike-rush"
"23","swamp horsetail"
