"","x"
"1","Baltic rush "
"2","Lyngbye's sedge "
"3","colonial bentgrass"
"4","pigmyweed"
"5","purple loosestrife"
"6","coast silverweed"
"7","birds-foot trefoil"
"8","western lilaeopsis"
"9","horehound"
"10","common horsetail"
"11","ribwort plantain"
"12","yellow iris"
"13","Pacific water-parsley"
"14","purple-leaved willowherb"
"15","Douglas' aster"
"16","hairy cat's-ear"
"17","pond-water starwort"
"18","water mudwort"
"19","sea-milkwort"
"20","small bedstraw"
"21","marsh yellow cress"
"22","little western bitter-cress "
"23","water-parsnip"
