"","x"
"1","reed canarygrass"
"2","horehound"
"3","Lyngbye's sedge"
"4","small bedstraw"
"5","yellow iris"
"6","nodding beggarticks"
"7","European forget-me-not"
"8","marshpepper smartweed"
"9","spotted touch-me-not"
"10","water mint"
"11","swamp horsetail"
"12","colonial bentgrass"
"13","clustered dock"
"14","purple-leaved willowherb"
"15","water-plantain"
"16","European forget-me-not "
"17","water-parsnip"
"18","western lilaeopsis"
"19","yellow marsh-marigold"
"20","rice cutgrass"
"21","common spike-rush"
"22","Pacific water-parsley"
"23","spreading rush"
"24","broad-leaved arrowhead"
"25","soft-stemmed bulrush "
"26","purple loosestrife"
"27","common silverweed"
"28","slough sedge"
"29","coast silverweed"
"30","Baltic rush "
"31","Douglas' aster"
"32","stalked birds-foot trefoil"
"33","small-flowered bulrush"
