"","x"
"1","swamp horsetail"
"2","common spike-rush"
"3","pond water-starwort"
"4","floating-leaved pondweed"
"5","Asian knotweed "
"6","arum-leaved arrowhead"
"7","water mudwort"
"8","nodding beggarticks"
"9","Canadian waterweed"
"10","purple loosestrife"
"11","rice cutgrass"
"12","water-plantain"
"13","spreading rush"
"14","persicaria"
"15","pigmyweed"
"16","western lilaeopsis"
"17","beaked sedge"
"18","wool-grass"
"19","reed canarygrass"
"20","small bedstraw"
"21","European forget-me-not "
"22","marsh cinquefoil"
"23","yellow iris"
"24","horehound"
"25","pointed broom sedge"
"26","broad-leaved arrowhead"
"27","three-parted beggarticks"
"28","cut-leaved water horehound"
"29","unknown moss 1"
"30","jointed rush"
"31","marsh speedwell"
"32","hardhack"
"33","bog loosestrife"
"34","unknown moss 2"
"35","unknown lichen"
"36","unknown moss 3"
