"","PC_mean","PC_sd"
"broad-leaved arrowhead",0.68,1.76705970470723
"colonial bentgrass ",19.42,23.0586570872344
"common cattail",0.12,0.439696865275764
"common horsetail",0.08,0.4
"common silverweed ",0.08,0.23629078131263
"common spike-rush",0.32,0.67515430335097
"creeping bentgrass",0.64,2.99833287011299
"European forget-me-not ",5.16,14.8167416571031
"field mint",0.04,0.2
"horehound",1.96,4.40860900209276
"Lyngbye's sedge ",27.36,21.5520300667942
"Lyngbyei's sedge ",0.2,1
"marshpepper smartweed",0.36,0.84803694888057
"nodding beggarticks",0.104,0.407717222267264
"pigmyweed",1.8,9
"pointed rush",0.2,0.645497224367903
"pond water-starwort",0.54,0.91195760135363
"purple-leaved willowherb",0.32,0.556776436283002
"purple loosestrife ",8.16,10.9456231739754
"purplestem beggarticks",0.2,1
"reed canarygrass",1.8,9
"reed canarygrass ",0.68,2.39304547943968
"rice cutgrass",0.52,0.871779788708135
"small-flowered bulrush",0.68,3.4
"small bedstraw",0.1,0.408248290463863
"small spike-rush",0.02,0.1
"soft-stemmed bulrush",9.48,12.1282040440179
"spreading rush",0.8,2.59807621135332
"swamp horsetail",10.08,14.0443345635645
"water-plantain",0.44,0.845576726264388
"water mudwort",0.1,0.408248290463863
"western lilaeopsis",0.16,0.472581562625261
"wood debris",0.4,2
"yellow iris",1.2,6
"yellow monkey-flower",0.04,0.2
