"","x"
"1","Lyngbye’s sedge"
"2","common spike-rush"
"3","swamp horsetail"
"4","soft-stemmed bulrush"
"5","small bedstraw"
"6","horehound"
"7","creeping bentgrass"
"8","marshpepper smartweed"
"9","European forget-me-not "
"10","Pacific water-parsley"
"11","yellow monkey-flower"
"12","bog loosestrife"
"13","western lilaeopsis"
"14","nodding beggarticks"
"15","purple loosestrife"
"16","northern starwort"
"17","broad-leaved arrowhead"
"18","Douglas' aster"
"19","rice cutgrass"
"20","small-flowered bulrush"
"21","common silverweed"
"22","reed canarygrass"
"23","jointed rush"
