"","x"
"1","Lyngbye's sedge"
"2","Pacific water-parsley"
"3","purple-leaved willowherb"
"4","swamp horsetail"
"5","water-parsnip"
"6","creeping bentgrass"
"7","small bedstraw"
"8","European forget-me-not "
"9","western lilaeopsis"
"10","jointed rush"
"11","purple loosestrife"
"12","yellow monkey-flower"
"13","horehound"
"14","common spike-rush"
"15","colonial bentgrass"
"16","reed canarygrass"
"17","persicaria"
"18","rice cutgrass"
"19","Sitka sedge "
"20","broad-leaved arrowhead"
"21","spotted touch-me-not"
"22","western dock"
"23","coast silverweed"
"24","Douglas' aster"
"25","yellow iris"
"26","springbank clover"
"27","American bulrush "
"28","pond-water starwort"
"29","pigmyweed"
"30","water mudwort"
"31","nodding beggarticks"
"32","water-plantain"
"33","ussurian water-milfoil"
"34","common rush"
"35","sprading rush"
"36","bog loosestrife"
"37","three-parted beggarticks"
"38","wool-grass"
"39","common cattail"
"40","spreading rush"
"41","emersed bur-reed"
