"","x"
"1","Baltic rush"
"2","yellow iris"
"3","reed canarygrass"
"4","common silverweed "
"5","yellow monkey-flower"
"6","Douglas' aster"
"7","European forget-me-not"
"8","small bedstraw"
"9","horehound"
"10","bird's-foot trefoil"
"11","Lyngbye's sedge"
"12","jointed rush"
"13","common spike-rush"
"14","western lilaeopsis"
"15","creeping bentgrass"
"16","colonial bentgrass"
"17","purple loosestrife"
"18","western St. John's-wort"
"19","pigmyweed"
"20","common horsetail"
"21","ribwort plantain"
"22","common plantain"
"23","purple-leaved willowherb"
"24","field mint"
"25","Douglas's water-hemlock"
