"","x"
"1","Lyngbye's sedge"
"2","small-flowered bulrush"
"3","purple-leaved willowherb"
"4","three-parted beggarticks"
"5","emersed bur-reed"
"6","rice cutgrass"
"7","purple loosestrife"
"8","horehound"
"9","pond-water starwort"
"10","European forget-me-not "
"11","creeping bentgrass"
"12","skunk cabbage "
"13","persicaria"
"14","small bedstraw"
"15","common silverweed"
"16","jointed rush"
"17","yellow monkey-flower"
"18","water-plantain"
"19","common spike-rush"
"20","European forget-me-not "
"21","water-parsnip"
"22","swamp horsetail"
"23","western lilaeopsis"
"24","Baltic rush "
"25","Canada thistle "
"26","reed canarygrass"
"27","common cattail"
"28","common rush"
"29","spreading rush"
"30","pigmyweed"
"31","colonial bentgrass"
"32","water mudwort"
"33","yellow iris"
"34","soft-stemmed bulrush"
"35","nodding beggarticks"
"36","low clubrush"
