"","x"
"1","Lyngbye's sedge"
"2","swamp horsetail"
"3","purple loosestrife"
"4","yellow monkey-flower"
"5","marshpepper smartweed"
"6","nodding beggarticks"
"7","purple-leaved willowherb"
"8","western lilaeopsis"
"9","creeping bentgrass"
"10","common spike-rush"
"11","water-plantain"
"12","small bedstraw"
"13","soft-stemmed bulrush"
"14","water-parsnip "
"15","water mudwort"
"16","jointed rush"
"17","Baltic rush"
"18","horehound"
"19","common beggarticks "
"20","pond water-starwort"
"21","pigmyweed"
"22","coast silverweed"
