"","x"
"1","reed canarygrass "
"2","yellow iris"
"3","purple loosestrife "
"4","spreading rush"
"5","Baltic rush "
"6","Douglas' aster"
"7","swamp horsetail"
"8","common horsetail"
"9","western lilaeopsis"
"10","coast silverweed"
"11","common spike-rush"
"12","slough sedge"
"13","western dock"
"14","small bedstraw "
"15","water-plantain"
"16","horehound"
"17","colonial bentgrass"
"18","broad-leaved arrowhead"
"19","nodding beggarticks"
"20","soft-stemmed bulrush "
"21","Lyngbye's sedge "
"22","jointed rush"
"23","water-parsnip"
"24","soft-stemmed bulrush"
"25","field mint"
"26","nodding beggarticks "
"27","small bedstraw"
