"","PC_mean","PC_sd"
"blue cattail",16.1,30.2357404407433
"broad-leaved arrowhead",4.35,8.08035304075001
"colonial bentgrass",2.4,8.9877109081468
"common cattail",9.1,18.2552083411542
"common spike-rush",0.15,0.489360484929593
"creeping bentgrass",0.1,0.447213595499958
"Dichodontium moss",0.35,1.56524758424985
"Douglas' aster",0.25,1.11803398874989
"European forget-me-not ",1.2,4.51430474917468
"Himalayan blackberry ",0.025,0.111803398874989
"horehound",0.4,1.56944509134179
"lesser cattail",8,19.9604872844222
"Lyngbye's sedge",5.85,18.7287423356104
"narrow-leaved bur-reed ",0.3,0.923380516876639
"nodding beggarticks",0.05,0.223606797749979
"pointed rush",0.1,0.447213595499958
"pond-water starwort",0.025,0.111803398874989
"purple-leaved willowherb",0.125,0.455232734000163
"purple loosestrife",0.75,2.44680242464796
"reed canarygrass",8.55,22.2224992672789
"rice cutgrass",0.45,1.46808145478878
"slender rush",0.05,0.223606797749979
"small-flowered bulrush",0.5,2.23606797749979
"small bedstraw",0.05,0.153896752812773
"soft-stemmed bulrush ",4.2,15.5989203405067
"spotted touch-me-not",1.95,7.83027189149501
"spring moss",0.35,1.56524758424985
"swamp horsetail",9,22.9255086610618
"water-parsnip",0.1,0.447213595499958
"water-plantain",1.45,4.53611240926343
"wood debris",0.5,2.23606797749979
"yellow iris",0.2,0.894427190999916
"yellow marsh-marigold",0.5,1.82093093600065
