"","x"
"1","common spike-rush "
"2","nodding beggarticks"
"3","creeping bentgrass"
"4","reed canarygrass"
"5","common horsetail"
"6","water mudwort"
"7","pond water-starwort"
"8","horehound"
"9","water-parsnip"
"10","Pacific water-parsley "
"11","purple loosestrife"
"12","common cattail"
"13","Lyngbye's sedge"
"14","water-plantain"
"15","spring water-starwort"
"16","small-flowered bulrush"
"17","soft-stemmed bulrush"
"18","broad-leaved arrowhead"
"19","yellow iris"
"20","small bedstraw"
"21","creeping buttercup"
"22","white mustard"
"23","spotted touch-me-not"
"24","purple-leaved willowherb"
"25","lamb's quarters"
"26","tapered rush"
"27","common silverweed"
"28","western lilaeopsis"
