"","x"
"1","Lyngbye's sedge "
"2","soft-stemmed bulrush"
"3","rice cutgrass"
"4","European forget-me-not"
"5","common spike-rush"
"6","water-plantain"
"7","purple loosestrife"
"8","purple-leaved willowherb"
"9","spreading rush"
"10","colonial bentgrass"
"11","horehound"
"12","yellow iris"
"13","Baltic rush "
"14","swamp horsetail"
"15","common watercress "
"16","creeping bentgrass"
"17","slender rush"
"18","persicaria"
"19","reed canarygrass"
"20","yellow marsh marigold"
"21","Douglas' aster"
"22","broad-leaved arrowhead"
"23","pond water-starwort"
"24","western lilaeopsis"
"25","skunk cabbage"
"26","nodding beggarticks"
"27","jointed rush"
"28","small bedstraw"
"29","common cattail"
"30","buckbean"
"31","Pacific water-parsley"
"32","water-parsnip"
"33","stalked birds-foot trefoil"
"34","tufted loosestrife"
"35","European forget-me-not "
"36","western dock"
"37","pigmyweed"
"38","Lyngbyei's sedge "
"39","coast silverweed"
"40","pointed rush"
