"","x"
"1","Baltic rush"
"2","marshpepper smartweed"
"3","Lyngbye's sedge "
"4","purple-leaved willowherb"
"5","American speedwell"
"6","reed canarygrass"
"7","common horsetail"
"8","red clover"
"9","large-leaved avens"
"10","common plantain"
"11","northern starwort"
"12","European hawkweed"
"13","water-purslane "
"14","Baltic rush "
"15","creeping bentgrass"
"16","pigmyweed"
"17","Kentucky bluegrass "
"18","water mudwort"
"19","common silverweed "
"20","white sweet-clover"
"21","pond water-starwort"
"22","common plantain "
"23","common dandelion"
"24","Asian knotweed"
"25","Himalayan blackberry "
"26","water-purslane"
"27","common rush"
"28","wool-grass"
"29","common horsetail "
"30","fine fescue"
"31","Asian knotweed "
"32","creeping buttercup"
"33","common spike-rush"
"34","purple loosestrife"
"35","tapered rush"
