"","PC_mean","PC_sd"
"Baltic rush ",0.525,2.23297653604473
"Canada thistle ",0.025,0.111803398874989
"coast silverweed",2.5,4.99736772816713
"colonial bentgrass ",0.15,0.461690258438319
"common cattail",0.6,2.68328157299975
"common horsetail",0.05,0.223606797749979
"common rush",0.05,0.223606797749979
"common spike-rush",0.5,1.03872391347319
"Himalayan blackberry ",2,7.17451630498714
"horehound",0.425,0.990414586237288
"lesser cattail",36.7,24.5058532213278
"Lyngbye's sedge ",7.775,20.5038346862753
"organic litter",5.7,15.4250309220879
"persicaria",0.05,0.153896752812773
"pigmyweed",0.05,0.153896752812773
"pointed rush",0.125,0.455232734000163
"pond water-starwort",0.125,0.22213082915966
"purple-leaved willowherb",0.375,1.17959627348557
"purple loosestrife",3.325,4.31116970328545
"reed canarygrass",4.25,8.39721131654651
"rice cutgrass",0.1,0.307793505625546
"small-flowered bulrush",0.85,2.73909320377153
"soft-stemmed bulrush",0.1,0.261574181890298
"spreading rush",0.6,2.25715237458734
"swamp horsetail",0.05,0.223606797749979
"water-parsnip",0.05,0.153896752812773
"water-plantain",0.2,0.49736145915484
"western dock",0.15,0.670820393249937
"western lilaeopsis",0.275,0.34316637057663
"wood debris",11.65,25.6725841891183
