"","PC_mean","PC_sd"
"Baltic rush ",76.5625,26.8699801513387
"birds-foot trefoil",0.71875,1.57023087474422
"coast silverweed",1.21875,1.29059094991403
"colonial bentgrass",4.28125,5.33531864090609
"common horsetail",0.0625,0.25
"Douglas' aster",0.1875,0.51234753829798
"hairy cat's-ear",0.15625,0.352077169571293
"horehound",0.53125,1.20372685162928
"little western bitter-cress ",0.03125,0.125
"Lyngbye's sedge ",3.125,5.05799696849784
"marsh yellow cress",0.1875,0.75
"Pacific water-parsley",0.15625,0.352077169571293
"pigmyweed",0.34375,0.352077169571293
"pond-water starwort",0.1875,0.25
"purple-leaved willowherb",0.0625,0.25
"purple loosestrife",1.03125,1.13238318014119
"ribwort plantain",0.125,0.341565025531987
"sea-milkwort",0.125,0.5
"small bedstraw",0.125,0.341565025531987
"small spike-rush",1.75,4.94300853057461
"water-parsnip",0.1875,0.75
"water mudwort",0.03125,0.125
"western lilaeopsis",0.28125,0.515388203202208
"yellow iris",6.625,24.9449393665328
