"","x"
"1","Baltic rush "
"2","Lyngbye's sedge "
"3","spreading rush"
"4","colonial bentgrass"
"5","pigmyweed"
"6","pond water-starwort"
"7","European forget-me-not "
"8","horehound"
"9","purple loosestrife"
"10","Ussurian water-milfoil "
"11","coast silverweed"
"12","small bedstraw"
"13","common spike-rush"
"14","jointed rush"
"15","persicaria"
"16","western lilaeopsis"
"17","reed canarygrass"
"18","purple-leaved willowherb"
"19","narrow-leaved bur-reed"
"20","low clubrush"
"21","water mudwort"
"22","nodding beggarticks"
"23","water-plantain"
"24","common rush"
"25","rice cutgrass"
"26","common watercress"
