"","x"
"1","Lyngbye's sedge "
"2","common spike-rush"
"3","common silverweed"
"4","jointed rush"
"5","spreading rush"
"6","Douglas' aster "
"7","western lilaeopsis"
"8","lesser spearwort"
"9","small bedstraw"
"10","colonial bentgrass"
"11","nodding beggarticks"
"12","European forget-me-not "
"13","pigmyweed"
"14","swamp horsetail"
"15","reed canarygrass"
"16","spotted touch-me-not"
"17","purple loosestrife"
"18","western dock"
"19","small-flowered bulrush"
"20","bog loosestrife"
"21","Ussurian water-milfoil"
"22","water mudwort"
"23","common rush"
"24","purple-leaved willowherb"
"25","horehound"
"26","yellow iris"
"27","water-parsnip"
"28","water-plantain"
"29","common cattail"
"30","shining willow"
"31","yellow monkey-flower"
"32","beaked sedge"
"33","pond water-starwort"
"34","blue water speedwell"
"35","soft-stemmed bulrush"
"36","slough sedge"
"37","springbank clover"
"38","emersed bur-reed"
"39","broad-leaved arrowhead"
"40","common plantain"
"41","yellow marsh marigold"
