"","x"
"1","soft-stemmed bulrush"
"2","Lyngbye's sedge "
"3","swamp horsetail"
"4","purple loosestrife "
"5","water-plantain"
"6","pond water-starwort"
"7","colonial bentgrass "
"8","nodding beggarticks"
"9","common cattail"
"10","marshpepper smartweed"
"11","horehound"
"12","spreading rush"
"13","common spike-rush"
"14","creeping bentgrass"
"15","pigmyweed"
"16","water mudwort"
"17","rice cutgrass"
"18","broad-leaved arrowhead"
"19","purple-leaved willowherb"
"20","yellow monkey-flower"
"21","small bedstraw"
"22","western lilaeopsis"
"23","common silverweed "
"24","small-flowered bulrush"
"25","European forget-me-not "
"26","purplestem beggarticks"
"27","Lyngbyei's sedge "
"28","yellow iris"
"29","reed canarygrass "
"30","field mint"
"31","common horsetail"
"32","reed canarygrass"
