"","x"
"1","Lyngbye's sedge"
"2","jointed rush"
"3","reed canarygrass"
"4","colonial bentgrass"
"5","Baltic rush "
"6","spreading rush"
"7","western dock"
"8","horehound"
"9","European forget-me-not "
"10","yellow iris"
"11","slough sedge"
"12","small bedstraw"
"13","spotted touch-me-not "
"14","common cattail"
"15","willow"
"16","purple loosestrife"
"17","marsh yellow cress"
"18","western St. John's-wort"
"19","common horsetail"
"20","purple-leaved willowherb"
"21","persicaria"
"22","common spike-rush"
"23","Himalayan blackberry "
"24","birds-foot trefoil "
"25","three-parted beggarticks"
"26","common plantain"
"27","blue skullcap"
"28","bog loosestrife"
"29","self-heal"
"30","moss"
"31","yellow monkey-flower"
"32","perennial ryegrass"
"33","rice cutgrass"
"34","little western bitter-cress"
"35","nodding beggarticks"
"36","field mint"
"37","swamp horsetail"
"38","Douglas' aster "
"39","western lilaeopsis"
"40","common silverweed"
"41","Pacific water-parsley"
"42","water-plantain"
"43","blue water speedwell"
