"","x"
"1","Lyngbye's sedge "
"2","jointed rush"
"3","broad-leaved arrowhead"
"4","reed canarygrass"
"5","European forget-me-not "
"6","common spike-rush"
"7","water-plantain"
"8","purple loosestrife"
"9","rice cutgrass"
"10","swamp horsetail"
"11","yellow iris"
"12","small bedstraw"
"13","colonial bentgrass"
"14","coast silverweed"
"15","horehound"
"16","Baltic rush "
"17","water mint"
"18","tall fescue"
"19","Douglas' aster"
"20","springbank clover"
"21","western fescue"
"22","skunk cabbage"
"23","small-flowered bulrush"
"24","purple-leaved willowherb"
"25","creeping bentgrass"
"26","common cattail"
"27","spotted touch-me-not"
"28","clustered dock"
"29","bluegrass"
"30","soft-stemmed bulrush"
"31","western lilaeopsis"
"32","pond water-starwort"
"33","water mudwort"
