"","x"
"1","reed canarygrass"
"2","horehound"
"3","common cattail"
"4","spotted touch-me-not"
"5","yellow iris"
"6","small bedstraw"
"7","Sitka sedge"
"8","purple loosestrife"
"9","water mint"
"10","European forget-me-not "
"11","little western bitter-cress "
"12","pond-water starwort"
"13","common rush"
"14","persicaria"
"15","jointed rush"
"16","western dock"
"17","purple-leaved willowherb"
"18","common spike-rush"
"19","marsh yellow cress "
"20","field mint"
"21","small-flowered bulrush"
"22","wool-grass"
"23","Himalayan blackberry "
