"","x"
"1","reed canarygrass"
"2","Himalayan blackberry"
"3","black cottonwood"
"4","common rush"
"5","Douglas' aster"
"6","common horsetail"
"7","Cusick's sedge"
"8","Lyngbye's sedge"
"9","rice cutgrass"
"10","coast silverweed"
"11","swamp horsetail"
"12","creeping buttercup"
"13","western St. John's-wort"
"14","jointed rush"
"15","horehound"
"16","creeping bentgrass"
"17","Baltic rush"
"18","purple loosestrife"
"19","small bedstraw"
"20","common spike-rush"
"21","European forget-me-not"
"22","purple-leaved willowherb"
"23","slough sedge"
"24","rambler rose"
"25","yellow iris"
"26","marshpepper smartweed"
"27","birds-foot trefoil"
"28","shining willow"
