"","PC_mean","PC_sd"
"broad-leaved arrowhead",4.4,9.83869910099907
"creeping bentgrass",5,11.1803398874989
"creeping bentgrass ",39,33.2415402771893
"Douglas' aster",1,2.23606797749979
"lady fern",2,4.47213595499958
"Lyngbye's sedge ",28.8,26.3286915740224
"nodding beggarticks",0.4,0.547722557505166
"purple-leaved willowherb",0.1,0.223606797749979
"Purple loostrife ",4,8.94427190999916
"reed canarygrass",2.4,1.81659021245849
"soft-stemmed bulrush",1,1.73205080756888
"water-parsnip",3.8,3.11448230047949
"water-plantain",1.9,1.51657508881031
"Yellow iris",6,13.4164078649987
